"repeats"	"read_count"	"num_annotations"	"num_bases"	"perc_reads"	"RPM"	"conRPM"	"ncountsRPM"	"nconRPM"
"2"	"1.688.seq2.count:82"	157382.78	82	29356	0.15103	1510.27	4091.56	18.4179268292683	0.369118380275494
"1073"	"1.688.seq1073.count:1"	24394.07	1	357	0.02341	234.09	624.89	234.09	0.374609931347917
"25"	"1.688.seq25.count:3"	13823.7	3	1074	0.01327	132.65	397.11	44.2166666666667	0.334038427639697
"589"	"1.688.seq589.count:1"	11360.43	1	358	0.0109	109.02	287.71	109.02	0.378923221299225
"1175"	"1.688.seq1175.count:1"	3843.21	1	357	0.00369	36.88	99.47	36.88	0.370765054790389
"294"	"1.688.seq294.count:1"	1716.07	1	307	0.00165	16.47	48.81	16.47	0.337430854333128
"380"	"1.688.seq380.count:1"	1048.83	1	354	0.00101	10.06	17.02	10.06	0.591069330199765
"1335"	"1.688.seq1335.count:1"	1020.94	1	354	0.00098	9.8	17.24	9.8	0.568445475638051
"558"	"1.688.seq558.count:1"	606.84	1	333	0.00058	5.82	13.68	5.82	0.425438596491228
"386"	"1.688.seq386.count:1"	557.79	1	357	0.00054	5.35	13.24	5.35	0.404078549848943
"758"	"1.688.seq758.count:1"	505.78	1	354	0.00049	4.85	33.33	4.85	0.145514551455146
"956"	"1.688.seq956.count:1"	500.33	1	359	0.00048	4.8	9.94	4.8	0.482897384305835
"1195"	"1.688.seq1195.count:1"	447.63	1	359	0.00043	4.3	9.58	4.3	0.448851774530271
"67"	"1.688.seq67.count:3"	427.66	3	1047	0.00041	4.1	6.1	1.36666666666667	0.672131147540984
"134"	"1.688.seq134.count:2"	414.42	2	716	4e-04	3.98	11.33	1.99	0.351279788172992
"4"	"1.688.seq4.count:7"	381.72	7	1785	0.00037	3.66	5.13	0.522857142857143	0.713450292397661
"813"	"1.688.seq813.count:1"	364.99	1	358	0.00035	3.5	10.7	3.5	0.327102803738318
"1199"	"1.688.seq1199.count:1"	356.13	1	352	0.00034	3.42	20.56	3.42	0.166342412451362
"790"	"1.688.seq790.count:1"	347.53	1	358	0.00033	3.33	7.64	3.33	0.43586387434555
"1300"	"1.688.seq1300.count:1"	331.22	1	353	0.00032	3.18	25.92	3.18	0.122685185185185
"282"	"1.688.seq282.count:1"	321.28	1	358	0.00031	3.08	6.34	3.08	0.485804416403786
