repeat	count	RPM
1.688.1A.X_203522_203877__reversed_	6.44	0.20
1.688.1A.X_203166_203519__reversed_	8.06	0.24
1.688.1A.X_238790_239136__reversed_	5.34	0.16
1.688.1A.X_242693_243049__reversed_	4.47	0.14
1.688.1A.X_242337_242692__reversed_	3.66	0.11
1.688.1A.X_205636_205991__reversed_	4.22	0.13
1.688.1A.X_214203_214559__reversed_	1.68	0.05
1.688.1A.X_222414_222770__reversed_	0.00	0.00
1.688.1A.X_224556_224912__reversed_	0.23	0.01
1.688.1A.X_210633_210989__reversed_	1.00	0.03
1.688.1A.X_236694_237050__reversed_	0.00	0.00
1.688.1A.X_233481_233837__reversed_	0.00	0.00
1.688.1A.X_230625_230981__reversed_	0.00	0.00
1.688.1A.X_236337_236693__reversed_	0.00	0.00
1.688.1A.X_207063_207419__reversed_	0.00	0.00
1.688.1A.X_223842_224198__reversed_	0.15	0.00
1.688.1A.X_208491_208847__reversed_	0.00	0.00
1.688.1A.X_225627_225983__reversed_	0.00	0.00
1.688.1A.X_224199_224555__reversed_	2.63	0.08
1.688.1A.X_208848_209204__reversed_	0.00	0.00
1.688.1A.X_228126_228482__reversed_	0.00	0.00
1.688.1A.X_213132_213488__reversed_	0.00	0.00
1.688.1A.X_212418_212774__reversed_	0.00	0.00
1.688.1A.X_209919_210275__reversed_	0.00	0.00
1.688.1A.X_225984_226340__reversed_	0.00	0.00
1.688.1A.X_234909_235265__reversed_	0.00	0.00
1.688.1A.X_216702_217058__reversed_	0.00	0.00
1.688.1A.X_227769_228125__reversed_	0.00	0.00
1.688.1A.X_218487_218843__reversed_	0.00	0.00
1.688.1A.X_232410_232766__reversed_	0.23	0.01
1.688.1A.X_214560_214916__reversed_	0.61	0.02
1.688.1A.X_216345_216701__reversed_	0.00	0.00
1.688.1A.X_211347_211703__reversed_	0.00	0.00
1.688.1A.X_229554_229910__reversed_	0.00	0.00
1.688.1A.X_227055_227411__reversed_	0.00	0.00
1.688.1A.X_223485_223841__reversed_	0.00	0.00
1.688.1A.X_221343_221699__reversed_	0.62	0.02
1.688.1A.X_210990_211346__reversed_	0.00	0.00
1.688.1A.X_232053_232409__reversed_	0.77	0.02
1.688.1A.X_232767_233123__reversed_	0.00	0.00
1.688.1A.X_221700_222056__reversed_	1.17	0.04
1.688.1A.X_208134_208490__reversed_	0.00	0.00
1.688.1A.X_207777_208133__reversed_	1.17	0.04
1.688.1A.X_205992_206348__reversed_	0.15	0.00
1.688.1A.X_237051_237407__reversed_	0.00	0.00
1.688.1A.X_231339_231695__reversed_	0.01	0.00
1.688.1A.X_225270_225626__reversed_	0.00	0.00
1.688.1A.X_220629_220985__reversed_	0.00	0.00
1.688.1A.X_220986_221342__reversed_	0.00	0.00
1.688.1A.X_218130_218486__reversed_	0.00	0.00
1.688.1A.X_233838_234194__reversed_	0.00	0.00
1.688.1A.X_218844_219200__reversed_	0.00	0.00
1.688.1A.X_219915_220271__reversed_	0.00	0.00
1.688.1A.X_226698_227054__reversed_	0.00	0.00
1.688.1A.X_217773_218129__reversed_	0.00	0.00
1.688.1A.X_215988_216344__reversed_	0.00	0.00
1.688.1A.X_233124_233480__reversed_	0.00	0.00
1.688.1A.X_212775_213131__reversed_	0.00	0.00
1.688.1A.X_222771_223127__reversed_	1.60	0.05
1.688.1A.X_235266_235622__reversed_	0.03	0.00
1.688.1A.X_215274_215630__reversed_	0.00	0.00
1.688.1A.X_213846_214202__reversed_	0.00	0.00
1.688.1A.X_234195_234551__reversed_	1.00	0.03
1.688.1A.X_223128_223484__reversed_	0.40	0.01
1.688.1A.X_210276_210632__reversed_	0.00	0.00
1.688.1A.X_228840_229196__reversed_	0.00	0.00
1.688.1A.X_220272_220628__reversed_	0.00	0.00
1.688.1A.X_224913_225269__reversed_	0.00	0.00
1.688.1A.X_213489_213845__reversed_	0.00	0.00
1.688.1A.X_227412_227768__reversed_	0.00	0.00
1.688.1A.X_226341_226697__reversed_	0.00	0.00
1.688.1A.X_229197_229553__reversed_	0.00	0.00
1.688.1A.X_235980_236336__reversed_	0.00	0.00
1.688.1A.X_234552_234908__reversed_	0.00	0.00
1.688.1A.X_230268_230624__reversed_	0.75	0.02
1.688.1A.X_211704_212060__reversed_	0.00	0.00
1.688.1A.X_219201_219557__reversed_	0.00	0.00
1.688.1A.X_209562_209918__reversed_	0.17	0.01
1.688.1A.X_235623_235979__reversed_	0.97	0.03
1.688.1A.X_206706_207062__reversed_	0.20	0.01
1.688.1A.X_230982_231338__reversed_	1.99	0.06
1.688.1A.X_214917_215273__reversed_	0.71	0.02
1.688.1A.X_231696_232052__reversed_	0.00	0.00
1.688.1A.X_209205_209561__reversed_	0.83	0.02
1.688.1A.X_212061_212417__reversed_	0.00	0.00
1.688.1A.X_217059_217415__reversed_	0.00	0.00
1.688.1A.X_222057_222413__reversed_	1.21	0.04
1.688.1A.X_228483_228839__reversed_	0.00	0.00
1.688.1A.X_207420_207776__reversed_	1.83	0.06
1.688.1A.X_215631_215987__reversed_	0.00	0.00
1.688.1A.X_206349_206705__reversed_	1.65	0.05
1.688.1A.X_217416_217772__reversed_	0.00	0.00
1.688.1A.X_229911_230267__reversed_	0.25	0.01
1.688.1A.X_219558_219914__reversed_	0.00	0.00
1.688.1A.X_204207_204563__reversed_	5.09	0.15
1.688.1A.X_243050_243396__reversed_	3.15	0.10
1.688.1A.X_239489_239844__reversed_	9.12	0.28
1.688.1A.X_240564_240919__reversed_	12.83	0.39
1.688.1A.X_202452_202807__reversed_	6.90	0.21
1.688.1A.X_201769_202096__reversed_	6.15	0.19
1.688.1A.X_203878_204206__reversed_	4.29	0.13
1.688.1A.X_239845_240205__reversed_	5.44	0.16
1.688.1A.X_240920_241281__reversed_	8.93	0.27
1.688.1A.X_237408_237766__reversed_	2.66	0.08
1.688.1A.X_204564_204922__reversed_	10.80	0.33
1.688.1A.X_204927_205280__reversed_	12.74	0.39
1.688.1A.X_202097_202451__reversed_	5.57	0.17
1.688.1A.X_205285_205635__reversed_	16.71	0.51
1.688.1A.X_237771_238124__reversed_	4.58	0.14
1.688.1A.X_241286_241639__reversed_	4.15	0.13
1.688.1A.X_239136_239488__reversed_	8.96	0.27
1.688.1A.X_240206_240563__reversed_	8.44	0.26
1.688.1A.X_241644_241996__reversed_	5.03	0.15
1.688.1A.X_238129_238481__reversed_	4.56	0.14
1.688.1A.X_202808_203163__reversed_	22.63	0.69
1.688.3F.X_3857851_3858208__reversed_	3.00	0.09
1.688.4A.X_4070884_4071241	3.51	0.11
1.688.1A.X_243399_243720__reversed_	1.38	0.04
1.688.9D.X_10623532_10623871__reversed_	1.83	0.06
1.688.9F.X_10971589_10971935__reversed_	1.48	0.04
1.688.9F.X_10949487_10949812__reversed_	0.00	0.00
1.688.9B.X_10395133_10395481__reversed_	0.10	0.00
1.688.9B.X_10396180_10396528__reversed_	12.77	0.39
1.688.9B.X_10395831_10396179__reversed_	11.16	0.34
1.688.9B.X_10395482_10395830__reversed_	13.57	0.41
1.688.9D.X_10622029_10622361__reversed_	0.92	0.03
1.688.9F.X_10949820_10950166__reversed_	0.00	0.00
1.688.9E.X_10662118_10662427__reversed_	1.53	0.05
1.688.11A.X_12337772_12338106__reversed_	6.65	0.20
1.688.11A.X_12336875_12337208__reversed_	2.96	0.09
1.688.11A.X_12336514_12336847__reversed_	2.86	0.09
1.688.11A.X_12338133_12338467__reversed_	2.82	0.09
1.688.11A.X_12289442_12289783__reversed_	0.56	0.02
1.688.11D.X_13019337_13019701__reversed_	1.00	0.03
1.688.11D.X_13019697_13020060__reversed_	5.00	0.15
1.688.11D.X_12998324_12998689__reversed_	2.00	0.06
1.688.dere.consensus_1_389	*	*
1.688.4C.X_4663225_4663580__reversed_	0.00	0.00
1.688.4E.X_4964641_4964969	1.85	0.06
1.688.4E.X_5007894_5008256	0.00	0.00
1.688.4C.X_4662876_4663222__reversed_	0.20	0.01
1.688.4C.X_4714431_4714765	0.79	0.02
1.688.4D.X_4823734_4824073	0.53	0.02
1.688.4D.X_4871571_4871913__reversed_	3.00	0.09
1.688.4D.X_4824097_4824431	0.00	0.00
1.688.2B.X_1703875_1704220__reversed_	4.97	0.15
1.688.2B.X_1703526_1703872__reversed_	3.87	0.12
