repeat	count	RPM
1.688.8B.X_8770139_8770460__reversed_	0.60	0.05
1.688.16A.X_17190898_17191251__reversed_	6.67	0.59
1.688.6C.X_6465847_6466184__reversed_	7.90	0.70
1.688.7E.X_8173568_8173896__reversed_	8.56	0.75
1.688.12D.X_13847393_13847728	9.70	0.85
1.688.12D.X_13847052_13847387	17.67	1.56
1.688.12C.X_13725634_13725977__reversed_	11.45	1.01
1.688.12E.X_13912288_13912634	12.09	1.07
1.688.12E.X_13911586_13911932	11.52	1.02
1.688.12E.X_14183836_14184160__reversed_	2.24	0.20
1.688.3C.X_2843397_2843741	7.19	0.63
1.688.3B.X_2772982_2773310	3.04	0.27
1.688.6A.X_6238497_6238845__reversed_	4.99	0.44
1.688.5F.X_6163009_6163366	14.09	1.24
1.688.5F.X_6172131_6172477__reversed_	14.73	1.30
1.688.5F.X_6192670_6193019__reversed_	5.40	0.48
1.688.5F.X_6172495_6172840__reversed_	15.41	1.36
1.688.4B.X_4158598_4158951__reversed_	6.19	0.55
1.688.4B.X_4158216_4158554__reversed_	7.58	0.67
1.688.10E.X_11561948_11562268	0.66	0.06
1.688.10C.X_11311864_11312223__reversed_	5.51	0.49
1.688.10B.X_11184188_11184547	4.87	0.43
1.688.10B.X_11251031_11251389	11.17	0.98
1.688.10B.X_11251750_11252109	14.72	1.30
1.688.10D.X_11409968_11410316	1.79	0.16
1.688.10B.X_11183837_11184185	2.31	0.20
1.688.10B.X_11251390_11251749	11.07	0.98
1.688.10B.X_11252110_11252464	14.60	1.29
1.688.10C.X_11332649_11333008__reversed_	10.39	0.92
1.688.7E.X_8122708_8123063__reversed_	2.69	0.24
1.688.7E.X_8221822_8222174	1.06	0.09
1.688.12E.X_14217131_14217489__reversed_	3.45	0.30
1.688.12E.X_14217664_14217995__reversed_	3.58	0.32
1.688.12E.X_14147399_14147753__reversed_	11.33	1.00
1.688.12F.X_14378189_14378541__reversed_	8.08	0.71
1.688.12F.X_14378546_14378899__reversed_	8.89	0.78
1.688.12F.X_14378905_14379259__reversed_	6.44	0.57
1.688.12E.X_14332118_14332464	28.33	2.50
1.688.12F.X_14379264_14379617__reversed_	8.72	0.77
1.688.12E.X_14332469_14332823	23.70	2.09
1.688.12E.X_14329769_14330096	15.67	1.38
1.688.12E.X_14331041_14331395	34.10	3.01
1.688.12E.X_14330323_14330677	22.44	1.98
1.688.12E.X_14329371_14329725	9.52	0.84
1.688.12E.X_14332828_14333183	14.96	1.32
1.688.12E.X_14331759_14332113	29.18	2.57
1.688.12E.X_14331400_14331754	28.99	2.56
1.688.12E.X_14330682_14331036	15.58	1.37
1.688.12E.X_14286702_14287056__reversed_	56.86	5.01
1.688.12E.X_14285963_14286299__reversed_	60.36	5.32
1.688.12E.X_14285245_14285581__reversed_	44.37	3.91
1.688.12E.X_14283830_14284184__reversed_	55.99	4.94
1.688.12E.X_14282399_14282753__reversed_	55.45	4.89
1.688.12E.X_14285604_14285940__reversed_	57.97	5.11
1.688.12E.X_14286322_14286658__reversed_	49.21	4.34
1.688.12E.X_14282019_14282355__reversed_	49.42	4.36
1.688.12E.X_14279533_14279887__reversed_	72.06	6.35
1.688.12E.X_14280232_14280587__reversed_	37.05	3.27
1.688.12E.X_14287061_14287415__reversed_	44.56	3.93
1.688.12E.X_14275943_14276297__reversed_	50.71	4.47
1.688.12E.X_14274149_14274503__reversed_	36.34	3.20
1.688.12E.X_14273790_14274144__reversed_	40.70	3.59
1.688.12E.X_14280963_14281317__reversed_	57.56	5.07
1.688.12E.X_14284548_14284902__reversed_	45.58	4.02
1.688.12E.X_14275584_14275938__reversed_	44.54	3.93
1.688.12E.X_14271650_14272004__reversed_	34.57	3.05
1.688.12E.X_14283455_14283786__reversed_	40.88	3.60
1.688.12E.X_14281660_14281996__reversed_	57.63	5.08
1.688.12E.X_14276661_14277015__reversed_	47.49	4.19
1.688.12E.X_14282758_14283112__reversed_	46.66	4.11
1.688.12E.X_14279174_14279528__reversed_	53.70	4.73
1.688.12E.X_14284189_14284543__reversed_	35.04	3.09
1.688.12E.X_14280604_14280958__reversed_	59.28	5.23
1.688.12E.X_14264237_14264590__reversed_	41.83	3.69
1.688.12E.X_14183477_14183831__reversed_	7.18	0.63
1.688.12E.X_14267123_14267477__reversed_	40.64	3.58
1.688.12E.X_14268559_14268913__reversed_	30.84	2.72
1.688.12E.X_14261006_14261360__reversed_	45.07	3.97
1.688.12E.X_14263519_14263873__reversed_	34.83	3.07
1.688.12E.X_14262083_14262437__reversed_	31.86	2.81
1.688.12E.X_14267841_14268195__reversed_	46.31	4.08
1.688.12E.X_14269291_14269645__reversed_	30.58	2.70
1.688.12E.X_14260647_14261001__reversed_	26.36	2.32
1.688.12E.X_14263160_14263514__reversed_	36.06	3.18
1.688.12E.X_14260288_14260642__reversed_	30.63	2.70
1.688.12E.X_14273068_14273426__reversed_	40.63	3.58
1.688.12E.X_14147040_14147394__reversed_	9.60	0.85
1.688.12E.X_14262797_14263155__reversed_	38.10	3.36
1.688.12E.X_14277738_14278092__reversed_	58.41	5.15
1.688.12E.X_14273431_14273785__reversed_	42.94	3.79
1.688.12E.X_14269650_14270004__reversed_	27.88	2.46
1.688.12E.X_14270009_14270363__reversed_	27.13	2.39
1.688.12E.X_14270727_14271081__reversed_	25.39	2.24
1.688.12E.X_14272350_14272704__reversed_	28.89	2.55
1.688.12E.X_14287420_14287774__reversed_	27.56	2.43
1.688.12E.X_14275226_14275579__reversed_	22.20	1.96
1.688.12E.X_14278815_14279169__reversed_	48.56	4.28
1.688.12E.X_14278097_14278451__reversed_	43.09	3.80
1.688.12E.X_14277379_14277733__reversed_	40.09	3.53
1.688.12E.X_14274867_14275221__reversed_	42.03	3.70
1.688.12E.X_14261720_14262078__reversed_	47.80	4.21
1.688.12E.X_14264595_14264949__reversed_	31.26	2.76
1.688.12E.X_14268200_14268554__reversed_	55.26	4.87
1.688.12E.X_14267482_14267836__reversed_	54.02	4.76
1.688.12E.X_14266404_14266758__reversed_	31.31	2.76
1.688.12E.X_14265320_14265674__reversed_	32.30	2.85
1.688.12E.X_14265679_14266033__reversed_	44.34	3.91
1.688.12E.X_14266763_14267118__reversed_	19.32	1.70
1.688.12E.X_14262442_14262796__reversed_	39.14	3.45
1.688.12E.X_14261365_14261719__reversed_	33.30	2.94
1.688.12E.X_14263878_14264232__reversed_	23.01	2.03
1.688.12E.X_14272709_14273063__reversed_	42.88	3.78
1.688.12E.X_14264954_14265315__reversed_	44.70	3.94
1.688.12E.X_14266038_14266399__reversed_	47.70	4.20
1.688.12E.X_14147758_14148112__reversed_	4.46	0.39
1.688.12E.X_14287780_14288134__reversed_	21.35	1.88
1.688.12E.X_14270356_14270683__reversed_	33.69	2.97
1.688.12E.X_14278456_14278810__reversed_	45.50	4.01
1.688.12E.X_14274508_14274862__reversed_	43.27	3.81
1.688.12E.X_14276302_14276656__reversed_	48.09	4.24
1.688.12E.X_14277020_14277374__reversed_	41.54	3.66
1.688.4C.X_4316123_4316454	4.37	0.39
1.688.6D.X_6591626_6591943__reversed_	4.16	0.37
1.688.5A.X_5441869_5442187	2.10	0.19
1.688.4C.X_4489588_4489932__reversed_	2.23	0.20
1.688.4C.X_4539689_4540023	14.96	1.32
1.688.4C.X_4540048_4540382	10.01	0.88
1.688.4D.X_4685164_4685508__reversed_	24.96	2.20
1.688.4D.X_4644736_4645079	3.81	0.34
1.688.4D.X_4645094_4645439	1.45	0.13
1.688.4D.X_4773552_4773876	6.90	0.61
1.688.6F.X_6915463_6915767	2.83	0.25
