repeat	count	RPM
RSP_LIKE.3A.X_2426782_2426934	1.52	0.05
RSP_LIKE.3A.X_2426628_2426780	2.02	0.06
RSP_LIKE.3A.X_2426474_2426626	1.66	0.05
RSP_LIKE.6E.X_6951289_6951441__reversed_	0.00	0.00
RSP_LIKE.6E.X_6951443_6951596__reversed_	1.91	0.06
RSP_LIKE.6E.X_6951753_6951906__reversed_	3.53	0.11
RSP_LIKE.6E.X_6951598_6951751__reversed_	2.48	0.07
RSP_LIKE.6E.X_6951908_6952061__reversed_	2.96	0.09
RSP.het.utg_2018.0_154882.quiver_25003_25119	0.00	0.00
RSP.het.utg_2018.0_154882.quiver_125934_126048__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_236625_236740__reversed_	36.38	1.10
RSP.het.utg_2021.0_300616.quiver_240473_240588__reversed_	26.50	0.80
RSP.het.utg_2021.0_300616.quiver_243386_243501__reversed_	21.08	0.64
RSP.het.utg_2021.0_300616.quiver_219593_219708__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_236392_236507__reversed_	15.05	0.46
RSP.het.utg_2021.0_300616.quiver_193704_193819__reversed_	13.25	0.40
RSP.het.utg_2021.0_300616.quiver_291749_291864__reversed_	8.22	0.25
RSP.het.utg_2021.0_300616.quiver_151096_151211	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_157779_157894	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_284609_284724__reversed_	4.31	0.13
RSP.het.utg_2021.0_300616.quiver_219942_220057__reversed_	17.28	0.52
RSP.het.utg_2021.0_300616.quiver_216915_217030__reversed_	22.75	0.69
RSP.het.utg_2021.0_300616.quiver_216100_216215__reversed_	41.87	1.27
RSP.het.utg_2021.0_300616.quiver_219360_219475__reversed_	10.70	0.32
RSP.het.utg_2021.0_300616.quiver_136863_136978	2.48	0.08
RSP.het.utg_2021.0_300616.quiver_202442_202557__reversed_	15.33	0.46
RSP.het.utg_2021.0_300616.quiver_219709_219824__reversed_	3.64	0.11
RSP.het.utg_2021.0_300616.quiver_198524_198638__reversed_	8.44	0.26
RSP.het.utg_2021.0_300616.quiver_245366_245481__reversed_	52.09	1.58
RSP.het.utg_2021.0_300616.quiver_227281_227396__reversed_	8.83	0.27
RSP.het.utg_2021.0_300616.quiver_212955_213070__reversed_	7.15	0.22
RSP.het.utg_2021.0_300616.quiver_202210_202325__reversed_	4.30	0.13
RSP.het.utg_2021.0_300616.quiver_201045_201160__reversed_	6.87	0.21
RSP.het.G2_Rsp_corrected_mapped_consensus_12354_12468	0.35	0.01
RSP.het.utg_2021.0_300616.quiver_205034_205148__reversed_	9.31	0.28
RSP.het.G2_Rsp_corrected_mapped_consensus_18178_18292	54.39	1.65
RSP.het.utg_2021.0_300616.quiver_250502_250617__reversed_	5.62	0.17
RSP.het.utg_2021.0_300616.quiver_250306_250420__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_200813_200928__reversed_	17.85	0.54
RSP.het.utg_2021.0_300616.quiver_232730_232845__reversed_	20.64	0.62
RSP.het.utg_2021.0_300616.quiver_204218_204333__reversed_	7.31	0.22
RSP.het.utg_2021.0_300616.quiver_215635_215750__reversed_	1.56	0.05
RSP.het.utg_2021.0_300616.quiver_216450_216565__reversed_	24.25	0.73
RSP.het.utg_2021.0_300616.quiver_210042_210157__reversed_	23.25	0.70
RSP.het.utg_2021.0_300616.quiver_201743_201858__reversed_	7.17	0.22
RSP.het.utg_2021.0_300616.quiver_201393_201508__reversed_	0.88	0.03
RSP.het.utg_2021.0_300616.quiver_299959_300074__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_294916_295031__reversed_	10.17	0.31
RSP.het.utg_2021.0_300616.quiver_204451_204566__reversed_	14.13	0.43
RSP.het.utg_2539.0_24622056.quiver_23596144_23596259__reversed_	7.87	0.24
RSP.het.utg_2021.0_300616.quiver_191567_191681__reversed_	8.20	0.25
