repeat	count	RPM
RSP_LIKE.3A.X_2211905_2212066	76.29	2.70
RSP_LIKE.3A.X_2213702_2213863	36.30	1.28
RSP_LIKE.3A.X_2212232_2212393	120.83	4.27
RSP_LIKE.3A.X_2212395_2212556	63.23	2.23
RSP_LIKE.3A.X_2212558_2212719	89.19	3.15
RSP_LIKE.3A.X_2213376_2213537	80.12	2.83
RSP_LIKE.3A.X_2211742_2211903	42.92	1.52
RSP_LIKE.3A.X_2213539_2213700	59.43	2.10
RSP_LIKE.5A.X_5192455_5192612__reversed_	7923.74	279.92
RSP_LIKE.5A.X_5191972_5192129__reversed_	18506.74	653.79
RSP_LIKE.het.U_102_165714_165871	19943.85	704.56
RSP_LIKE.het.U_102_218953_219110	5449.23	192.51
RSP_LIKE.het.U_102_161338_161494	17.12	0.60
RSP_LIKE.het.U_102_142279_142439	126.48	4.47
RSP_LIKE.het.U_102_171255_171417	6.19	0.22
RSP_LIKE.het.U_102_150669_150823	3483.62	123.07
RSP_LIKE.het.U_102_156146_156308	21.65	0.76
RSP_LIKE.het.U_102_141645_141797	0.00	0.00
RSP_LIKE.het.U_102_161657_161819	8.86	0.31
RSP_LIKE.het.U_102_157126_157284	10.42	0.37
RSP_LIKE.het.U_102_142604_142767	40.86	1.44
RSP_LIKE.het.U_102_162464_162621	3.94	0.14
RSP_LIKE.het.U_102_156798_156959	14.42	0.51
RSP_LIKE.het.U_102_173538_173700	119.17	4.21
RSP_LIKE.het.U_102_174682_174845	1200.98	42.43
RSP_LIKE.het.U_102_232581_232743	149.44	5.28
RSP_LIKE.het.U_10_13274_13429__reversed_	226.77	8.01
RSP_LIKE.het.U_10_9523_9679__reversed_	1332.92	47.09
RSP_LIKE.het.U_102_139214_139374	21.52	0.76
RSP_LIKE.het.U_102_171904_172063	7.46	0.26
RSP_LIKE.het.U_102_142123_142278	94.22	3.33
RSP_LIKE.het.U_102_161820_161982	264.88	9.36
RSP_LIKE.het.U_102_215022_215184	517.44	18.28
RSP_LIKE.het.U_102_181024_181186	34.59	1.22
RSP_LIKE.het.U_102_164737_164898	259.28	9.16
RSP_LIKE.het.U_102_128387_128547	25.64	0.91
RSP_LIKE.het.U_102_182166_182327	226.11	7.99
RSP_LIKE.het.U_102_161495_161656	3.57	0.13
RSP_LIKE.het.U_102_168313_168475	15.80	0.56
RSP_LIKE.het.U_102_138891_139051	1.00	0.04
RSP_LIKE.het.U_102_211268_211430	60.27	2.13
RSP_LIKE.het.U_10_15720_15882__reversed_	555.53	19.63
RSP_LIKE.het.U_10_7738_7899__reversed_	256.60	9.06
RSP_LIKE.het.U_10_588_749__reversed_	96.22	3.40
RSP_LIKE.het.U_10_32424_32557__reversed_	67.83	2.40
RSP_LIKE.het.U_102_140994_141154	22.62	0.80
RSP_LIKE.het.U_102_177763_177927	16.58	0.59
RSP_LIKE.het.U_102_173378_173536	43.41	1.53
RSP_LIKE.het.U_102_172721_172883	14.64	0.52
RSP_LIKE.het.U_102_151300_151460	14.63	0.52
RSP_LIKE.het.U_102_150016_150179	61.28	2.16
RSP_LIKE.het.U_102_178094_178257	81.03	2.86
RSP_LIKE.het.U_102_129361_129525	79.74	2.82
RSP_LIKE.het.U_102_180707_180860	277.28	9.80
RSP_LIKE.het.U_102_162146_162307	10.57	0.37
RSP_LIKE.het.U_102_227072_227235	316.94	11.20
RSP_LIKE.het.U_102_117756_117919	423.43	14.96
RSP_LIKE.het.U_102_166197_166359	2072.78	73.23
RSP_LIKE.het.U_102_171092_171254	411.94	14.55
RSP_LIKE.het.U_102_128871_129035	242.44	8.56
RSP_LIKE.het.U_102_176320_176483	532.43	18.81
RSP_LIKE.het.U_102_140185_140346	87.83	3.10
RSP_LIKE.het.U_102_140022_140184	12.05	0.43
RSP_LIKE.het.U_102_227554_227717	406.36	14.36
RSP_LIKE.het.U_102_153714_153876	211.87	7.48
RSP_LIKE.het.U_10_27840_28003__reversed_	1776.44	62.76
RSP_LIKE.het.U_102_185588_185748	1664.85	58.81
RSP_LIKE.het.U_10_2715_2872__reversed_	1389.04	49.07
RSP_LIKE.het.U_102_144206_144360	2608.67	92.16
RSP_LIKE.het.U_102_127255_127414	10.81	0.38
RSP_LIKE.het.U_102_169620_169779	29.45	1.04
RSP_LIKE.het.U_102_125950_126112	500.46	17.68
RSP_LIKE.het.U_102_123821_123984	3777.73	133.46
RSP_LIKE.het.U_102_223830_223993	2673.91	94.46
RSP_LIKE.het.U_102_199323_199486	1602.57	56.61
RSP_LIKE.het.U_102_130990_131153	113.29	4.00
RSP_LIKE.het.U_102_176648_176809	1326.26	46.85
RSP_LIKE.het.U_10_32097_32259__reversed_	1210.35	42.76
RSP_LIKE.het.U_102_121200_121363	3250.62	114.83
RSP_LIKE.het.U_102_122184_122347	1303.83	46.06
RSP_LIKE.het.U_102_120052_120215	1034.41	36.54
RSP_LIKE.het.U_102_165387_165549	6945.42	245.36
RSP_LIKE.het.U_102_125297_125460	22465.83	793.65
RSP_LIKE.het.U_102_123004_123166	2966.52	104.80
RSP_LIKE.het.U_102_122020_122183	2584.03	91.29
RSP_LIKE.het.U_102_184776_184938	195.22	6.90
RSP_LIKE.het.U_102_232744_232906	126.31	4.46
RSP_LIKE.het.U_102_129199_129360	109.93	3.88
RSP_LIKE.het.U_102_182818_182980	647.53	22.88
RSP_LIKE.het.U_102_142930_143091	30.34	1.07
RSP_LIKE.het.U_102_173213_173377	46.39	1.64
RSP_LIKE.het.U_102_206690_206852	77.78	2.75
RSP_LIKE.het.U_102_164090_164248	454.45	16.05
RSP_LIKE.het.U_102_135990_136149	25.98	0.92
RSP_LIKE.het.U_102_217297_217485	168.60	5.96
RSP_LIKE.het.U_102_122676_122839	3029.56	107.03
RSP_LIKE.het.U_102_138567_138728	31.34	1.11
RSP_LIKE.het.U_102_128707_128870	895.42	31.63
RSP_LIKE.het.U_102_230306_230469	2776.29	98.08
RSP_LIKE.het.U_102_139375_139538	66.18	2.34
RSP_LIKE.het.U_102_179404_179567	637.67	22.53
RSP_LIKE.het.U_102_128060_128222	458.74	16.21
RSP_LIKE.het.U_10_28659_28820__reversed_	75.42	2.66
RSP_LIKE.het.U_102_211595_211748	40.86	1.44
RSP_LIKE.het.U_102_167499_167659	34.87	1.23
RSP_LIKE.het.U_102_131481_131634	1.51	0.05
RSP_LIKE.het.U_102_170432_170596	62.72	2.22
RSP_LIKE.5A.X_5192130_5192293__reversed_	13731.05	485.08
RSP_LIKE.3A.X_2214029_2214191	67.57	2.39
RSP_LIKE.het.U_102_135686_135833	1.86	0.07
RSP_LIKE.het.U_102_151777_151929	5.00	0.18
RSP_LIKE.het.U_102_165550_165713	22350.03	789.56
RSP_LIKE.het.U_102_183309_183472	1984.16	70.09
RSP_LIKE.het.U_102_169128_169295	30.59	1.08
RSP_LIKE.het.U_102_162622_162784	19.83	0.70
RSP_LIKE.het.U_102_133255_133419	33.87	1.20
RSP_LIKE.het.U_102_208327_208489	57.74	2.04
RSP_LIKE.het.U_10_30459_30621__reversed_	435.37	15.38
RSP_LIKE.het.U_10_2873_3026__reversed_	2433.26	85.96
RSP_LIKE.het.U_102_215825_215985	1212.49	42.83
RSP_LIKE.het.U_102_209139_209300	114.97	4.06
RSP_LIKE.het.U_10_23743_23906__reversed_	1645.82	58.14
RSP_LIKE.het.U_102_219928_220091	151.17	5.34
RSP_LIKE.het.U_102_203085_203247	605.51	21.39
RSP_LIKE.het.U_102_194898_195062	1179.36	41.66
RSP_LIKE.het.U_102_155982_156145	8.72	0.31
RSP_LIKE.het.U_102_223017_223173	230.64	8.15
RSP_LIKE.het.U_102_174519_174681	451.30	15.94
RSP_LIKE.het.U_102_146723_146872	9.95	0.35
RSP_LIKE.het.U_102_134548_134706	395.71	13.98
RSP_LIKE.het.U_102_137428_137589	11.56	0.41
RSP_LIKE.het.U_102_175163_175328	43.71	1.54
RSP_LIKE.het.U_102_230962_231118	194.23	6.86
RSP_LIKE.het.U_102_176484_176647	4163.31	147.08
