Cluster	Repeats	Closest upstream	Dist upstream	Closest downstream	Dist downstream	Coords	First_start	First_end	Last_start	Last_end	Cyto_band	Cyto_start
HETA 4381 5348	1	HETA 231 8210	10	TAHRE 9755 10463	-10	X:107852-109057	107852	109057	107852	109057	1A	103614
TAHRE 9755 10463	1	HETA 4381 5348	-10	HETA 1450 8280	0	X:109047-109754	109047	109754	109047	109754	1A	103614
HETA 1450 8280	1	TAHRE 9755 10463	0	HETA 5438 6081	10	X:109754-113335	109754	113335	109754	113335	1A	103614
HETA 5438 6081	1	HETA 1450 8280	10	TAHRE 10418 10455	2	X:113345-114007	113345	114007	113345	114007	1A	103614
TAHRE 10418 10455	1	HETA 5438 6081	2	TAHRE 7350 10455	-8	X:114009-114046	114009	114046	114009	114046	1A	103614
TAHRE 7350 10455	1	TAHRE 10418 10455	-8	HETA 1 775	58	X:114038-116407	114038	116407	114038	116407	1A	103614
HETA 1 775	1	TAHRE 7350 10455	58	HETA 231 8210	1	X:116465-117391	116465	117391	116465	117391	1A	103614
HETA 231 8210	1	HETA 1 775	1	GENE	1	X:117392-122492	117392	122492	117392	122492	1A	103614
GENE	1	HETA 231 8210	1	TAHRE 10380 10463	19	X:122493-122706	122493	122706	122493	122706	1A	103614
TAHRE 10380 10463	1	GENE	19	HETRP	249	X:122725-122809	122725	122809	122725	122809	1A	103614
HETRP	2	TAHRE 10380 10463	249	DNAREP1	258	X:123058-123589	123058	123116	123439	123589	1A	103614
DNAREP1	2	HETRP	258	GENE	44	X:123847-124326	123847	123926	124196	124326	1A	103614
GENE	1	DNAREP1	44	GENE	735	X:124370-126714	124370	126714	124370	126714	1A	103614
GENE	1	GENE	735	REP-2	-10618	X:127449-140340	127449	140340	127449	140340	1A	103614
REP-2	1	GENE	-10618	Helitron-1	-4	X:129722-129819	129722	129819	129722	129819	1A	103614
Helitron-1	1	REP-2	-4	REP-2	294	X:129815-129850	129815	129850	129815	129850	1A	103614
REP-2	1	Helitron-1	294	DNAREP1	39	X:130144-130200	130144	130200	130144	130200	1A	103614
DNAREP1	1	REP-2	39	DNAREP1	1585	X:130239-130675	130239	130675	130239	130675	1A	103614
DNAREP1	1	DNAREP1	1585	GENE	1064	X:132260-132321	132260	132321	132260	132321	1A	103614
GENE	1	DNAREP1	1064	DNAREP1	1559	X:133385-133502	133385	133502	133385	133502	1A	103614
DNAREP1	1	GENE	1559	Hoyak2 2513 2561	1	X:135061-135753	135061	135753	135061	135753	1A	103614
Hoyak2 2513 2561	1	DNAREP1	1	Helitron-N1	1160	X:135754-135802	135754	135802	135754	135802	1A	103614
Helitron-N1	1	Hoyak2 2513 2561	1160	Helitron-N2	2	X:136962-137053	136962	137053	136962	137053	1A	103614
Helitron-N2	1	Helitron-N1	2	GENE	3806	X:137055-137167	137055	137167	137055	137167	1A	103614
GENE	1	Helitron-N2	3806	hAT-2	-52	X:140973-142197	140973	142197	140973	142197	1A	103614
hAT-2	1	GENE	-52	GENE	-14	X:142145-142222	142145	142222	142145	142222	1A	103614
GENE	1	hAT-2	-14	GENE	-57932	X:142208-200663	142208	200663	142208	200663	1A	103614
GENE	1	GENE	-57932	Helitron-N1	-4743	X:142731-148426	142731	148426	142731	148426	1A	103614
Helitron-N1	1	GENE	-4743	DNAREP1	86	X:143683-143845	143683	143845	143683	143845	1A	103614
DNAREP1	1	Helitron-N1	86	DNAREP1	4031	X:143931-143982	143931	143982	143931	143982	1A	103614
DNAREP1	1	DNAREP1	4031	P	1814	X:148013-148142	148013	148142	148013	148142	1A	103614
P	1	DNAREP1	1814	DNAREP1	1	X:149956-149968	149956	149968	149956	149968	1A	103614
DNAREP1	1	P	1	Helitron-N2	890	X:149969-150345	149969	150345	149969	150345	1A	103614
Helitron-N2	1	DNAREP1	890	DNAREP1	35	X:151235-151404	151235	151404	151235	151404	1A	103614
DNAREP1	1	Helitron-N2	35	GENE	116	X:151439-151575	151439	151575	151439	151575	1A	103614
GENE	1	DNAREP1	116	Helitron-N1	311	X:151691-152279	151691	152279	151691	152279	1A	103614
Helitron-N1	1	GENE	311	REP-2	585	X:152590-152798	152590	152798	152590	152798	1A	103614
REP-2	1	Helitron-N1	585	Helitron-1	1294	X:153383-153447	153383	153447	153383	153447	1A	103614
Helitron-1	1	REP-2	1294	DNAREP1	39	X:154741-154850	154741	154850	154741	154850	1A	103614
DNAREP1	2	Helitron-1	39	DNAREP1	1061	X:154889-155790	154889	154962	155403	155790	1A	103614
