	X:199866-199933	X:265828-265870	X:1517890-1518036	X:2424646-2424687	X:2426474-2426626	X:2426628-2426780	X:2426782-2426934	X:2426936-2427088	X:2679638-2679745	X:4130132-4130293	X:4130299-4130460	X:4130466-4130627	X:4130633-4130797	X:4130810-4130967	X:4383278-4383429	X:4383431-4383595	X:4383597-4383761	X:4383763-4383926	X:4383928-4384092	X:4384094-4384258	X:4384260-4384424	X:4384426-4384589	X:4384591-4384749	X:4956185-4956343	X:5442467-5442528	X:5524126-5524170	X:5817417-5817470	X:6951289-6951441	X:6951443-6951596	X:6951598-6951751	X:6951753-6951906	X:6951908-6952061	X:6952063-6952112	X:6953000-6953042	X:6957395-6957481	X:7242614-7242653	X:8266787-8266867	X:11706192-11706277	X:11706297-11706384	X:11706392-11706430	X:22255799-22255952
X:199866-199933	0	0.021621622	0.054054054	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.07027027	0.048648649	0.048648649	0.048648649	0.043243243	0.054054054	0.037837838	0.043243243	0.043243243	0.043243243	0.043243243	0.043243243	0.043243243	0.043243243	0.048648649	0.037837838	0.043243243	0.016216216	0.032432432	0.048648649	0.043243243	0.043243243	0.043243243	0.043243243	0.016216216	0.043243243	0.043243243	0.048648649	0.032432432	0.064864865	0.059459459	0.021621622	0.037837838
X:265828-265870	0.021621622	0	0.043243243	0.037837838	0.054054054	0.054054054	0.054054054	0.048648649	0.059459459	0.048648649	0.048648649	0.048648649	0.043243243	0.054054054	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.032432432	0.032432432	0.021621622	0.021621622	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.021621622	0.032432432	0.043243243	0.037837838	0.037837838	0.054054054	0.048648649	0.027027027	0.043243243
X:1517890-1518036	0.054054054	0.043243243	0	0.043243243	0.054054054	0.054054054	0.054054054	0.048648649	0.059459459	0.054054054	0.054054054	0.054054054	0.048648649	0.059459459	0.054054054	0.064864865	0.064864865	0.064864865	0.064864865	0.064864865	0.064864865	0.064864865	0.064864865	0.037837838	0.048648649	0.048648649	0.037837838	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.037837838	0.059459459	0.043243243	0.059459459	0.059459459	0.043243243	0.054054054	0.037837838
X:2424646-2424687	0.048648649	0.037837838	0.043243243	0	0.048648649	0.048648649	0.048648649	0.043243243	0.037837838	0.059459459	0.059459459	0.059459459	0.054054054	0.064864865	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.048648649	0.032432432	0.010810811	0.043243243	0.043243243	0.043243243	0.043243243	0.043243243	0.043243243	0.043243243	0.043243243	0.005405405	0.054054054	0.010810811	0.048648649	0.043243243	0.027027027	0.037837838	0.032432432
X:2426474-2426626	0.048648649	0.054054054	0.054054054	0.048648649	0	0	0	0.010810811	0.064864865	0.059459459	0.054054054	0.054054054	0.048648649	0.059459459	0.043243243	0.048648649	0.048648649	0.043243243	0.048648649	0.048648649	0.048648649	0.043243243	0.048648649	0.048648649	0.054054054	0.048648649	0.054054054	0.010810811	0.005405405	0.005405405	0.005405405	0.005405405	0.048648649	0.054054054	0.054054054	0.059459459	0.048648649	0.059459459	0.048648649	0.054054054	0.037837838
X:2426628-2426780	0.048648649	0.054054054	0.054054054	0.048648649	0	0	0	0.010810811	0.064864865	0.059459459	0.054054054	0.054054054	0.048648649	0.059459459	0.043243243	0.048648649	0.048648649	0.043243243	0.048648649	0.048648649	0.048648649	0.043243243	0.048648649	0.048648649	0.054054054	0.048648649	0.054054054	0.010810811	0.005405405	0.005405405	0.005405405	0.005405405	0.048648649	0.054054054	0.054054054	0.059459459	0.048648649	0.059459459	0.048648649	0.054054054	0.037837838
X:2426782-2426934	0.048648649	0.054054054	0.054054054	0.048648649	0	0	0	0.010810811	0.064864865	0.059459459	0.054054054	0.054054054	0.048648649	0.059459459	0.043243243	0.048648649	0.048648649	0.043243243	0.048648649	0.048648649	0.048648649	0.043243243	0.048648649	0.048648649	0.054054054	0.048648649	0.054054054	0.010810811	0.005405405	0.005405405	0.005405405	0.005405405	0.048648649	0.054054054	0.054054054	0.059459459	0.048648649	0.059459459	0.048648649	0.054054054	0.037837838
X:2426936-2427088	0.048648649	0.048648649	0.048648649	0.043243243	0.010810811	0.010810811	0.010810811	0	0.059459459	0.054054054	0.048648649	0.048648649	0.043243243	0.054054054	0.043243243	0.048648649	0.048648649	0.043243243	0.048648649	0.048648649	0.048648649	0.043243243	0.043243243	0.048648649	0.048648649	0.048648649	0.048648649	0	0.005405405	0.005405405	0.005405405	0.005405405	0.048648649	0.048648649	0.048648649	0.054054054	0.048648649	0.054054054	0.043243243	0.054054054	0.037837838
X:2679638-2679745	0.07027027	0.059459459	0.059459459	0.037837838	0.064864865	0.064864865	0.064864865	0.059459459	0	0.075675676	0.07027027	0.07027027	0.064864865	0.075675676	0.064864865	0.07027027	0.07027027	0.075675676	0.07027027	0.07027027	0.07027027	0.075675676	0.075675676	0.054054054	0.043243243	0.064864865	0.059459459	0.059459459	0.059459459	0.059459459	0.059459459	0.059459459	0.064864865	0.032432432	0.064864865	0.037837838	0.064864865	0.043243243	0.037837838	0.059459459	0.064864865
X:4130132-4130293	0.048648649	0.048648649	0.054054054	0.059459459	0.059459459	0.059459459	0.059459459	0.054054054	0.075675676	0	0.010810811	0.010810811	0.016216216	0.037837838	0.048648649	0.07027027	0.07027027	0.07027027	0.07027027	0.07027027	0.07027027	0.07027027	0.07027027	0.043243243	0.064864865	0.043243243	0.043243243	0.054054054	0.054054054	0.054054054	0.054054054	0.054054054	0.043243243	0.054054054	0.048648649	0.059459459	0.048648649	0.054054054	0.054054054	0.048648649	0.054054054
