repeat	count	RPM
1.688.4F.X_4815068_4815406__reversed_	5.52	0.20
1.688.7E.X_7997236_7997579__reversed_	6.12	0.22
1.688.7E.X_7968433_7968777	9.08	0.32
1.688.15B.X_16391799_16392159	9.02	0.32
1.688.15B.X_16392160_16392520	9.52	0.34
1.688.15B.X_16392521_16392880	8.77	0.31
1.688.15B.X_16393948_16394296	6.15	0.22
1.688.15B.X_16391100_16391439	3.85	0.14
1.688.15B.X_16393589_16393947	14.99	0.53
1.688.15B.X_16392881_16393227	13.09	0.46
1.688.9F.X_10521951_10522305	14.57	0.51
1.688.8B.X_8503274_8503618__reversed_	3.56	0.13
1.688.9F.X_10433666_10434028	11.13	0.39
1.688.9F.X_10434029_10434388	16.18	0.57
1.688.10B.X_10822893_10823253__reversed_	6.27	0.22
1.688.8A.X_8301686_8302046	36.50	1.29
1.688.8A.X_8335795_8336155	69.78	2.46
1.688.13E.X_15264319_15264666__reversed_	52.16	1.84
1.688.14A.X_15485130_15485489__reversed_	15.74	0.56
1.688.11F.X_13020878_13021238__reversed_	12.38	0.44
1.688.15B.X_16393228_16393588	24.13	0.85
1.688.15B.X_16391440_16391798	11.69	0.41
1.688.het.U_109_11054_11411__reversed_	12.17	0.43
1.688.het.U_47_14353_14714__reversed_	259.95	9.18
1.688.het.U_108_39659_40018	53.73	1.90
1.688.het.U_109_30159_30517__reversed_	8.80	0.31
1.688.het.U_109_12843_13194__reversed_	0.72	0.03
1.688.het.U_110_53745_54101__reversed_	15.29	0.54
1.688.het.U_108_87386_87742	21.01	0.74
1.688.het.U_47_11510_11865__reversed_	3.20	0.11
1.688.het.U_109_47679_48033__reversed_	3.99	0.14
1.688.het.U_108_33209_33561	17.31	0.61
1.688.het.U_108_40739_41098	53.37	1.89
1.688.het.U_47_9392_9746__reversed_	9.03	0.32
1.688.het.U_108_51901_52259	67.99	2.40
1.688.het.U_4_214757_215117__reversed_	11.53	0.41
1.688.het.U_4_219231_219590__reversed_	18.49	0.65
1.688.het.U_4_217449_217806__reversed_	7.92	0.28
1.688.het.U_4_213690_214048__reversed_	15.20	0.54
1.688.het.U_111_5421_5776__reversed_	16.07	0.57
1.688.het.U_110_43058_43414__reversed_	11.42	0.40
1.688.het.U_108_30363_30717	48.52	1.71
1.688.het.U_109_3643_4005__reversed_	52.95	1.87
1.688.het.U_108_41099_41456	32.88	1.16
1.688.het.U_108_42178_42537	94.41	3.34
1.688.het.U_110_39874_40235__reversed_	33.54	1.18
1.688.het.U_109_10342_10695__reversed_	8.33	0.29
1.688.het.U_47_31713_32072__reversed_	38.84	1.37
1.688.het.U_142_38285_38635__reversed_	5.74	0.20
1.688.het.U_47_15069_15428__reversed_	57.48	2.03
1.688.het.U_67_42881_43236	10.92	0.39
1.688.het.U_111_2566_2920__reversed_	12.51	0.44
1.688.het.U_110_45901_46256__reversed_	14.85	0.52
1.688.het.U_110_15329_15682__reversed_	39.60	1.40
1.688.het.U_109_39915_40275__reversed_	52.09	1.84
1.688.het.U_110_13923_14275__reversed_	10.74	0.38
1.688.het.U_66_13334_13692	10.64	0.38
1.688.het.U_93_23274_23630	5.82	0.21
1.688.het.U_110_37734_38087__reversed_	10.93	0.39
1.688.het.U_66_15589_15944	4.19	0.15
1.688.het.U_110_43415_43767__reversed_	6.36	0.22
1.688.het.U_66_14607_14963	25.16	0.89
1.688.8A.X_8336156_8336516	197.94	6.99
1.688.het.U_47_12215_12574__reversed_	27.74	0.98
1.688.het.U_109_43081_43440__reversed_	38.75	1.37
1.688.het.U_93_31043_31397	12.65	0.45
1.688.het.U_109_36599_36950__reversed_	12.86	0.45
1.688.het.U_66_29152_29512	220.31	7.78
1.688.het.U_109_1515_1868__reversed_	59.30	2.10
1.688.het.U_109_40989_41349__reversed_	51.28	1.81
1.688.het.U_108_65573_65933	111.91	3.95
1.688.het.U_110_48392_48750__reversed_	12.23	0.43
1.688.het.U_66_7268_7626	31.74	1.12
1.688.het.U_110_5434_5791__reversed_	13.20	0.47
1.688.het.U_111_434_791__reversed_	36.44	1.29
1.688.het.U_108_66653_67012	43.55	1.54
1.688.het.U_108_38224_38581	16.17	0.57
1.688.het.U_108_26817_27168	20.15	0.71
1.688.het.U_108_32497_32851	21.80	0.77
1.688.het.U_109_35527_35880__reversed_	42.53	1.50
1.688.het.U_110_53032_53389__reversed_	11.65	0.41
1.688.het.U_111_1847_2204__reversed_	131.87	4.66
1.688.het.U_108_68093_68452	48.75	1.72
1.688.het.U_110_44477_44829__reversed_	16.45	0.58
1.688.het.U_109_50507_50857__reversed_	17.18	0.61
1.688.het.U_108_56578_56935	16.20	0.57
1.688.het.U_142_39697_40046__reversed_	17.34	0.61
1.688.het.U_92_26053_26411	38.98	1.38
1.688.het.U_92_4441_4799	18.80	0.66
1.688.het.U_92_12274_12633	24.35	0.86
1.688.het.U_92_27397_27753	2.93	0.10
1.688.het.U_86_2645_3000	24.12	0.85
1.688.het.U_86_13969_14287	12.49	0.44
1.688.het.U_86_19933_20254	26.52	0.94
1.688.het.U_86_24410_24731	47.01	1.66
1.688.het.U_86_8331_8652	32.84	1.16
1.688.het.U_86_1587_1906	7.26	0.26
1.688.het.U_4_215472_215834__reversed_	37.53	1.33
1.688.het.U_4_218161_218518__reversed_	16.00	0.57
1.688.het.U_4_217086_217446__reversed_	108.65	3.84
1.688.het.U_4_211196_211549__reversed_	24.80	0.88
1.688.het.U_4_213334_213687__reversed_	8.60	0.30
1.688.het.U_63_29623_29980__reversed_	42.03	1.48
1.688.het.U_92_13259_13618	36.08	1.27
1.688.het.U_92_6772_7130	15.56	0.55
1.688.het.U_92_28377_28735	5.61	0.20
1.688.het.U_92_27038_27396	22.89	0.81
1.688.het.U_92_2819_3176	48.84	1.73
1.688.het.U_92_24430_24788	12.80	0.45
1.688.het.U_67_33383_33732	11.18	0.40
1.688.het.U_67_43237_43586	17.71	0.63
1.688.het.U_93_28590_28938	6.63	0.23
1.688.het.U_92_15444_15814	40.10	1.42
1.688.het.U_92_8219_8581	13.33	0.47
1.688.het.U_92_29094_29454	10.99	0.39
1.688.het.U_92_7492_7857	36.12	1.28
1.688.het.U_92_13980_14350	78.70	2.78
1.688.het.U_67_40420_40769	10.80	0.38
1.688.het.U_67_38666_39018	13.68	0.48
1.688.het.U_67_34781_35134	29.78	1.05
1.688.het.U_109_7480_7827__reversed_	15.49	0.55
1.688.het.U_66_30502_30862	318.77	11.26
1.688.het.U_66_71781_72134__reversed_	1.27	0.04
1.688.het.U_66_64365_64724__reversed_	13.92	0.49
1.688.het.U_66_44807_45166__reversed_	10.78	0.38
1.688.het.U_66_69188_69548__reversed_	41.64	1.47
1.688.het.U_66_66286_66644__reversed_	27.31	0.96
1.688.het.U_63_2042_2402__reversed_	54.72	1.93
1.688.het.U_92_24789_25147	9.95	0.35
1.688.het.U_92_13619_13979	67.48	2.38
1.688.het.U_92_28736_29093	18.42	0.65
1.688.het.U_92_9311_9670	184.33	6.51
1.688.het.U_92_9671_10022	107.54	3.80
1.688.het.U_92_27754_28104	14.43	0.51
1.688.het.U_92_26412_26764	31.58	1.12
1.688.het.U_92_12634_12985	22.77	0.80
1.688.het.U_92_10295_10654	60.56	2.14
1.688.het.U_92_25422_25779	59.90	2.12
1.688.het.U_92_3810_4167	166.15	5.87
1.688.het.U_79_15503_15867__reversed_	13.76	0.49
1.688.het.U_79_12201_12564__reversed_	34.89	1.23
1.688.het.U_79_23223_23586__reversed_	12.26	0.43
1.688.het.U_79_13662_14025__reversed_	19.69	0.70
1.688.het.U_79_14400_14762__reversed_	21.53	0.76
1.688.het.U_79_1156_1518__reversed_	20.24	0.72
1.688.het.U_79_2241_2603__reversed_	49.11	1.73
1.688.het.U_79_3325_3688__reversed_	157.58	5.57
1.688.het.U_79_74_435__reversed_	182.82	6.46
1.688.het.U_93_6342_6692	8.24	0.29
1.688.het.U_47_10803_11152__reversed_	28.01	0.99
1.688.het.U_66_21365_21717	9.07	0.32
1.688.het.U_66_7982_8344	7.99	0.28
1.688.het.U_142_39345_39696__reversed_	18.50	0.65
1.688.het.U_109_25542_25892__reversed_	1.20	0.04
1.688.het.U_66_65019_65368__reversed_	16.54	0.58
1.688.het.U_66_63515_63864__reversed_	24.59	0.87
1.688.het.U_66_54169_54517__reversed_	11.44	0.40
1.688.het.U_66_66939_67288__reversed_	23.24	0.82
1.688.het.U_66_58941_59287__reversed_	2.54	0.09
1.688.het.U_66_70234_70583__reversed_	17.26	0.61
1.688.het.U_63_3087_3436__reversed_	35.75	1.26
