Cluster	first_start	last_start
X:12336317-12338467	12336514	12338133
X:14387260-14388595	14387260	14388273
X:8698963-8702559	8699211	8702090
X:9808572-9810367	9808572	9810009
X:11889251-11891752	11889371	11891171
X:7812966-7821676	7812966	7821189
X:14914537-14916595	14914651	14916047
X:2420022-2424601	2420149	2424085
X:7017074-7018981	7017241	7018668
X:8750369-8753009	8750565	8752365
X:12794971-12797970	12794971	12797490
X:13360700-13362565	13360966	13362046
X:5521450-5523943	5521450	5523588
X:201288-243720	201413	243399
X:9623304-9625971	9623818	9625613
X:12187882-12189527	12187882	12188949
X:11271307-11273469	11271479	11272552
X:6953087-6957319	6953292	6956878
X:10394924-10396736	10395133	10396180
X:8611681-8613588	8611931	8612995
