Cluster	Repeats	Closest_upstream	Dist_upstream	Closest_downstream	Dist_downstream	Coords	First_start	First_end	Last_start	Last_end	Cyto_band	Cyto_start	NewCyto	TransCoor
Copia1-LTR	1	Copia1-I	1	DNAREP1	1	X:104574-104776	104574	104776	104574	104776	1A	103614		
DNAREP1	2	Copia1-LTR	1	Invader1	76	X:104777-105661	104777	105147	105314	105661	1A	103614		
Invader1	1	DNAREP1	76	PROTOP	-6	X:105737-105897	105737	105897	105737	105897	1A	103614		
PROTOP 3472 3661	1	Invader1	-6	PROTOP	3	X:105891-106074	105891	106074	105891	106074	1A	103614		
PROTOP	1	PROTOP	3	Gypsy-38	147	X:106077-106598	106077	106598	106077	106598	1A	103614		
Gypsy-38	3	PROTOP	147	Gypsy9-LTR	87	X:106745-107430	106745	106930	107305	107430	1A	103614		
Gypsy9-LTR	1	Gypsy-38	87	DNAREP1	95	X:107517-107631	107517	107631	107517	107631	1A	103614		
DNAREP1	1	Gypsy9-LTR	95	DNAREP2	4208	X:107726-107844	107726	107844	107726	107844	1A	103614		
DNAREP2	1	DNAREP1	4208	Gypsy8-I	791	X:112052-112091	112052	112091	112052	112091	1A	103614		
Gypsy8-I	1	DNAREP2	791	REP-2	97	X:112882-112931	112882	112931	112882	112931	1A	103614		
REP-2	1	Gypsy8-I	97	DNAREP1	193	X:113028-113170	113028	113170	113028	113170	1A	103614		
DNAREP1	3	REP-2	193	Transib-1	1494	X:113363-114280	113363	113397	113709	114280	1A	103614		
Transib-1	1	DNAREP1	1494	Helitron-1	2882	X:115774-115825	115774	115825	115774	115825	1A	103614	1A	114288
Helitron-1	1	Transib-1	2882	DNAREP1	0	X:118707-118735	118707	118735	118707	118735	1A	103614	1A	114288
DNAREP1	1	Helitron-1	0	Helitron-N1	1063	X:118735-119458	118735	119458	118735	119458	1A	103614	1A	114288
Helitron-N1	2	DNAREP1	1063	hAT-2	5068	X:120521-120675	120521	120603	120632	120675	1A	103614	1A	114288
hAT-2	1	Helitron-N1	5068	Helitron-N1	1644	X:125743-125815	125743	125815	125743	125815	1A	103614	1A	114288
Helitron-N1	1	hAT-2	1644	DNAREP1	6228	X:127459-127558	127459	127558	127459	127558	1A	103614	1A	114288
DNAREP1	2	Helitron-N1	6228	Helitron-N1	1066	X:133786-134772	133786	133902	134564	134772	1A	103614	1A	114288
Helitron-N1	1	DNAREP1	1066	REP-2	306	X:135838-136013	135838	136013	135838	136013	1A	103614	1A	114288
REP-2	1	Helitron-N1	306	Helitron-1	1297	X:136319-136383	136319	136383	136319	136383	1A	103614	1A	114288
Helitron-1	1	REP-2	1297	DNAREP1	49	X:137680-137789	137680	137789	137680	137789	1A	103614	1A	114288
DNAREP1	1	Helitron-1	49	DNAREP2	493	X:137838-137902	137838	137902	137838	137902	1A	103614	1A	114288
DNAREP2	1	DNAREP1	493	DNAREP1	860	X:138395-138903	138395	138903	138395	138903	1A	103614	1A	114288
DNAREP1	5	DNAREP2	860	Helitron-2	49	X:139763-141670	139763	139864	141426	141670	1A	103614	1A	114288
Helitron-2	1	DNAREP1	49	DNAREP1	1234	X:141719-141782	141719	141782	141719	141782	1A	103614	1A	114288
DNAREP1	2	Helitron-2	1234	DNAREP1	2018	X:143016-143387	143016	143141	143140	143387	1A	103614	1A	114288
DNAREP1	1	DNAREP1	2018	Helitron-N1	1662	X:145405-145554	145405	145554	145405	145554	1A	103614	1A	114288
Helitron-N1	1	DNAREP1	1662	Helitron-2	3255	X:147216-147353	147216	147353	147216	147353	1A	103614	1A	114288
Helitron-2	1	Helitron-N1	3255	DNAREP1	2916	X:150608-150674	150608	150674	150608	150674	1A	103614	1A	114288
DNAREP1	2	Helitron-2	2916	Helitron-N2	1927	X:153590-153902	153590	153754	153784	153902	1A	103614	1A	114288
Helitron-N2	1	DNAREP1	1927	DNAREP1	-5	X:155829-155909	155829	155909	155829	155909	1A	103614	1A	114288
DNAREP1	2	Helitron-N2	-5	Helitron-N1	754	X:155904-156693	155904	156008	156496	156693	1A	103614	1A	114288
Helitron-N1	1	DNAREP1	754	PROTOP	1	X:157447-157565	157447	157565	157447	157565	1A	103614	1A	114288
PROTOP	1	Helitron-N1	1	P-1	23	X:157566-157714	157566	157714	157566	157714	1A	103614	1A	114288
P-1	1	PROTOP	23	Helitron-N2	1601	X:157737-157888	157737	157888	157737	157888	1A	103614	1A	114288
Helitron-N2	2	P-1	1601	Helitron-1	262	X:159489-159941	159489	159580	159786	159941	1A	103614	1A	114288
Helitron-1	1	Helitron-N2	262	DNAREP1	1692	X:160203-160270	160203	160270	160203	160270	1A	103614	1A	114288
DNAREP1	1	Helitron-1	1692	REP-2	2121	X:161962-162409	161962	162409	161962	162409	1A	103614	1A	114288
REP-2	1	DNAREP1	2121	DNAREP1	70	X:164530-164687	164530	164687	164530	164687	1A	103614	1A	114288
DNAREP1	1	REP-2	70	Hoyak2	780	X:164757-164958	164757	164958	164757	164958	1A	103614	1A	114288
Hoyak2 2521 2560	1	DNAREP1	780	Helitron-2	208	X:165738-165777	165738	165777	165738	165777	1A	103614	1A	114288
Helitron-2	1	Hoyak2	208	DNAREP1	1769	X:165985-166057	165985	166057	165985	166057	1A	103614	1A	114288
DNAREP1	2	Helitron-2	1769	1.688	3305	X:167826-168125	167826	168015	168049	168125	1A	103614	1A	114288
1.688	147	DNAREP1	3305	DNAREP1	9	X:171430-227276	171430	171634	227016	227276	1A	103614	1A	114288
DNAREP1	1	1.688	9	1.688	11	X:227285-227392	227285	227392	227285	227392	1A	103614	1A	114288
1.688	1	DNAREP1	11	Helitron-N2	396	X:227403-227495	227403	227495	227403	227495	1A	103614	1A	114288
Helitron-N2	1	1.688	396	DNAREP1	8781	X:227891-227961	227891	227961	227891	227961	1A	103614	1A	114288
DNAREP1	1	Helitron-N2	8781	FB4	8000	X:236742-236812	236742	236812	236742	236812	1A	103614	1A	114288
FB4	1	DNAREP1	8000	Helitron-2N	1282	X:244812-244953	244812	244953	244812	244953	1A	103614	1A	114288
Helitron-2N	1	FB4	1282	1.688	3037	X:246235-246312	246235	246312	246235	246312	1A	103614	1A	114288
1.688	1	Helitron-2N	3037	DNAREP1	9232	X:249349-249511	249349	249511	249349	249511	1A	103614	1A	114288
DNAREP1	1	1.688	9232	Helitron-N2	1795	X:258743-259236	258743	259236	258743	259236	1A	103614	1A	114288
Helitron-N2	1	DNAREP1	1795	PROTOP	2530	X:261031-261194	261031	261194	261031	261194	1A	103614	1A	114288
PROTOP	2	Helitron-N2	2530	PROTOP	16	X:263724-264276	263724	264226	264219	264276	1A	103614	1A	114288
PROTOP 3472 3627	1	PROTOP	16	PROTOP	1	X:264292-264439	264292	264439	264292	264439	1A	103614	1A	114288
PROTOP 4005 4089	1	PROTOP	1	DOC6	63	X:264440-264524	264440	264524	264440	264524	1A	103614	1A	114288
DOC6	1	PROTOP	63	PROTOP	1	X:264587-268825	264587	268825	264587	268825	1A	103614	1A	114288
PROTOP	1	DOC6	1	Transib-7	725	X:268826-269172	268826	269172	268826	269172	1A	103614	1A	114288
Transib-7	1	PROTOP	725	Transib-6	55	X:269897-269953	269897	269953	269897	269953	1A	103614	1A	114288
Transib-6	1	Transib-7	55	Transib-7	20	X:270008-270168	270008	270168	270008	270168	1A	103614	1A	114288
Transib-7	1	Transib-6	20	M4DM	1	X:270188-270418	270188	270418	270188	270418	1A	103614	1A	114288
M4DM 842 1173	1	Transib-7	1	Transib-7	73	X:270419-270479	270419	270479	270419	270479	1A	103614	1A	114288
Transib-7	1	M4DM	73	DNAREP1	905	X:270552-270676	270552	270676	270552	270676	1A	103614	1A	114288
DNAREP1	2	Transib-7	905	DNAREP1	2826	X:271581-271856	271581	271732	271743	271856	1A	103614	1A	114288
DNAREP1	1	DNAREP1	2826	Transib-1	1	X:274682-274737	274682	274737	274682	274737	1A	103614	1A	114288
Transib-1	1	DNAREP1	1	DNAREP1	34	X:274738-274748	274738	274748	274738	274748	1A	103614	1A	114288
DNAREP1	1	Transib-1	34	Helitron-1	1727	X:274782-275088	274782	275088	274782	275088	1A	103614	1A	114288
Helitron-1	1	DNAREP1	1727	DNAREP1	1620	X:276815-276927	276815	276927	276815	276927	1A	103614	1A	114288
DNAREP1	3	Helitron-1	1620	Helitron-N2	1394	X:278547-279001	278547	278574	278951	279001	1A	103614	1A	114288
Helitron-N2	1	DNAREP1	1394	DNAREP1	1262	X:280395-280443	280395	280443	280395	280443	1A	103614	1A	114288
DNAREP1	1	Helitron-N2	1262	Helitron-N1	4422	X:281705-282002	281705	282002	281705	282002	1A	103614	1A	114288
Helitron-N1	1	DNAREP1	4422	DNAREP1	1771	X:286424-286637	286424	286637	286424	286637	1A	103614	1A	114288
DNAREP1	3	Helitron-N1	1771	DNAREP1	7444	X:288408-289672	288408	288537	289226	289672	1A	103614	1A	114288
DNAREP1	1	DNAREP1	7444	BEL-8	8480	X:297116-297680	297116	297680	297116	297680	1A	103614	1A	114288
BEL-8	1	DNAREP1	8480	DNAREP1	749	X:306160-306431	306160	306431	306160	306431	1A	103614	1A	114288
DNAREP1	1	BEL-8	749	Helitron-1N	36	X:307180-307274	307180	307274	307180	307274	1A	103614	1A	114288
Helitron-1N	1	DNAREP1	36	DNAREP1	2208	X:307310-307346	307310	307346	307310	307346	1A	103614	1A	114288
DNAREP1	1	Helitron-1N	2208	DNAREP1	2797	X:309554-309695	309554	309695	309554	309695	1A	103614	1A	114288
DNAREP1	1	DNAREP1	2797	Helitron-1	139	X:312492-312564	312492	312564	312492	312564	1A	103614	1A	114288
Helitron-1	1	DNAREP1	139	DNAREP1	2387	X:312703-312782	312703	312782	312703	312782	1A	103614	1A	114288
DNAREP1	1	Helitron-1	2387	Gypsy6-I	3314	X:315169-315559	315169	315559	315169	315559	1A	103614	1A	114288
Gypsy6-I	1	DNAREP1	3314	Helitron-N2	386	X:318873-318920	318873	318920	318873	318920	1A	103614	1A	114288
Helitron-N2	1	Gypsy6-I	386	Transib-1	636	X:319306-319342	319306	319342	319306	319342	1A	103614	1A	114288
Transib-1	1	Helitron-N2	636	Helitron-N1	6254	X:319978-320047	319978	320047	319978	320047	1A	103614	1A	114288
Helitron-N1	1	Transib-1	6254	DNAREP1	3729	X:326301-326468	326301	326468	326301	326468	1A	103614	1A	114288
DNAREP1	3	Helitron-N1	3729	P	1	X:330197-330709	330197	330267	330668	330709	1A	103614	1A	114288
P	1	DNAREP1	1	Helitron-N1	12272	X:330710-330722	330710	330722	330710	330722	1A	103614	1A	114288
Helitron-N1	1	P	12272	DNAREP1	381	X:342994-343090	342994	343090	342994	343090	1A	103614	1A	114288
DNAREP1	1	Helitron-N1	381	Jockey-3	4275	X:343471-343519	343471	343519	343471	343519	1A	103614	1A	114288
Jockey-3	1	DNAREP1	4275	DNAREP1	1578	X:347794-347982	347794	347982	347794	347982	1A	103614	1A	114288
DNAREP1	1	Jockey-3	1578	Helitron-N1	19584	X:349560-349613	349560	349613	349560	349613	1A	103614	1A	114288
Helitron-N1	1	DNAREP1	19584	Helitron-1	8685	X:369197-369255	369197	369255	369197	369255	1A	103614	1A	114288
Helitron-1	1	Helitron-N1	8685	TRANSIB1	26725	X:377940-377996	377940	377996	377940	377996	1A	103614	1A	114288
TRANSIB1 1428 1782	1	Helitron-1	26725	TRANSIB1	-2	X:404721-405075	404721	405075	404721	405075	1A	103614	1B	392401
TRANSIB1 1 843	1	TRANSIB1	-2	Helitron-2	4557	X:405073-405928	405073	405928	405073	405928	1A	103614	1B	392401
Helitron-2	1	TRANSIB1	4557	Helitron-N2	144	X:410485-410548	410485	410548	410485	410548	1B	408583	1B	392401
Helitron-N2	1	Helitron-2	144	Helitron-N2	24747	X:410692-410789	410692	410789	410692	410789	1B	408583	1B	392401
Helitron-N2	1	Helitron-N2	24747	DNAREP1	12846	X:435536-435687	435536	435687	435536	435687	1B	408583	1B	392401
DNAREP1	1	Helitron-N2	12846	Gypsy-27	14752	X:448533-448604	448533	448604	448533	448604	1B	408583	1B	392401
Gypsy-27	1	DNAREP1	14752	BEL-21	7804	X:463356-463394	463356	463394	463356	463394	1B	408583	1B	392401
BEL-21	1	Gypsy-27	7804	Jockey-3	24967	X:471198-471244	471198	471244	471198	471244	1B	408583	1B	392401
Jockey-3	1	BEL-21	24967	Helitron-2	24553	X:496211-496592	496211	496592	496211	496592	1B	408583	1B	392401
Helitron-2	1	Jockey-3	24553	Helitron-N1	98	X:521145-521201	521145	521201	521145	521201	1B	408583	1B	392401
Helitron-N1	1	Helitron-2	98	hAT-N1	12686	X:521299-521391	521299	521391	521299	521391	1B	408583	1B	392401
hAT-N1	1	Helitron-N1	12686	HeT-A3	15757	X:534077-534117	534077	534117	534077	534117	1B	408583	1B	392401
HeT-A3	1	hAT-N1	15757	Galileo	1764	X:549874-549943	549874	549943	549874	549943	1B	408583	1B	392401
Galileo	1	HeT-A3	1764	DNAREP1	19828	X:551707-551761	551707	551761	551707	551761	1B	408583	1B	392401
DNAREP1	1	Galileo	19828	Jockey-3	10783	X:571589-571684	571589	571684	571589	571684	1B	408583	1B	392401
Jockey-3	2	DNAREP1	10783	Jockey-3	13295	X:582467-582980	582467	582749	582914	582980	1B	408583	1B	392401
Jockey-3	1	Jockey-3	13295	Galileo	7670	X:596275-596342	596275	596342	596275	596342	1B	408583	1B	392401
Galileo	1	Jockey-3	7670	TART	3644	X:604012-604065	604012	604065	604012	604065	1B	408583	1B	392401
TART	1	Galileo	3644	DNAREP1	5192	X:607709-607831	607709	607831	607709	607831	1B	408583	1B	392401
DNAREP1	1	TART	5192	hAT-1	31	X:613023-613267	613023	613267	613023	613267	1B	408583	1B	392401
