Cluster	Repeats	Closest_upstream	Dist_upstream	Closest_downstream	Dist_downstream	Coords	First_start	First_end	Last_start	Last_end	Cyto_band	Cyto_start	NewCyto	TransCoor
Helitron-1	1	Helitron-N2	261	DNAREP1	1711	X:103939-104006	103939	104006	103939	104006	1A	103614	1A	57176
DNAREP1	1	Helitron-1	1711	REP-2	2118	X:105717-106126	105717	106126	105717	106126	1A	103614	1A	57176
REP-2	1	DNAREP1	2118	DNAREP1	70	X:108244-108401	108244	108401	108244	108401	1A	103614	1A	57176
DNAREP1	1	REP-2	70	Hoyak2	740	X:108471-108709	108471	108709	108471	108709	1A	103614	1A	57176
Hoyak2 2521 2560	1	DNAREP1	740	Helitron-2	211	X:109449-109488	109449	109488	109449	109488	1A	103614	1A	57176
Helitron-2	1	Hoyak2	211	DNAREP1	1749	X:109699-109771	109699	109771	109699	109771	1A	103614	1A	57176
DNAREP1	2	Helitron-2	1749	1.688	3300	X:111520-111819	111520	111709	111743	111819	1A	103614	1A	57176
1.688	1	DNAREP1	3300	RSP-LIKE	34	X:115119-115421	115119	115421	115119	115421	1A	103614	1A	57176
RSP-LIKE	2	1.688	34	1.688	3	X:115455-115648	115455	115532	115534	115648	1A	103614	1A	57176
1.688	2	RSP-LIKE	3	RSP-LIKE	-3	X:115651-116364	115651	116008	116009	116364	1A	103614	1A	57176
RSP-LIKE	2	1.688	-3	1.688	3	X:116361-116554	116361	116438	116440	116554	1A	103614	1A	57176
1.688	1	RSP-LIKE	3	RSP-LIKE	-3	X:116557-116912	116557	116912	116557	116912	1A	103614	1A	57176
RSP-LIKE	2	1.688	-3	1.688	3	X:116909-117102	116909	116986	116988	117102	1A	103614	1A	57176
1.688	2	RSP-LIKE	3	RSP-LIKE	-3	X:117105-117822	117105	117461	117467	117822	1A	103614	1A	57176
RSP-LIKE	3	1.688	-3	1.688	8	X:117819-118177	117819	117896	118063	118177	1A	103614	1A	57176
1.688	4	RSP-LIKE	8	RSP-LIKE	-3	X:118185-119961	118185	118536	119602	119961	1A	103614	1A	57176
RSP-LIKE	11	1.688	-3	1.688	291	X:119958-121627	119958	120035	121501	121627	1A	103614	1A	57176
1.688	2	RSP-LIKE	291	DNAREP1	9	X:121918-122429	121918	122111	122117	122429	1A	103614	1A	57176
DNAREP1	1	1.688	9	1.688	11	X:122438-122545	122438	122545	122438	122545	1A	103614	1A	57176
1.688	1	DNAREP1	11	Helitron-N2	400	X:122556-122648	122556	122648	122556	122648	1A	103614	1A	57176
Helitron-N2	1	1.688	400	FB4	17404	X:123048-123118	123048	123118	123048	123118	1A	103614	1A	57176
FB4	1	Helitron-N2	17404	Helitron-N2	1318	X:140522-140666	140522	140666	140522	140666	1A	103614	1A	57176
Helitron-N2	1	FB4	1318	1.688	3124	X:141984-142112	141984	142112	141984	142112	1A	103614	1A	57176
1.688	1	Helitron-N2	3124	RSP-LIKE	-3	X:145236-145488	145236	145488	145236	145488	1A	103614	1A	57176
RSP-LIKE	45	1.688	-3	1.688	273	X:145485-152808	145485	145562	152682	152808	1A	103614	1A	57176
1.688	5	RSP-LIKE	273	DNAREP1	9275	X:153081-154817	153081	153276	154651	154817	1A	103614	1A	57176
DNAREP1	1	1.688	9275	Helitron-N2	1806	X:164092-164582	164092	164582	164092	164582	1A	103614	1A	57176
Helitron-N2	1	DNAREP1	1806	Transib-7	3231	X:166388-166554	166388	166554	166388	166554	1A	103614	1A	57176
Transib-7	1	Helitron-N2	3231	Transib-6	55	X:169785-169841	169785	169841	169785	169841	1A	103614	1A	57176
Transib-6	1	Transib-7	55	Transib-7	20	X:169896-170056	169896	170056	169896	170056	1A	103614	1A	57176
Transib-7	2	Transib-6	20	DNAREP1	904	X:170076-170586	170076	170428	170462	170586	1A	103614	1A	57176
DNAREP1	2	Transib-7	904	Helitron-N1	2837	X:171490-171769	171490	171645	171656	171769	1A	103614	1A	57176
Helitron-N1	1	DNAREP1	2837	DNAREP1	32	X:174606-174674	174606	174674	174606	174674	1A	103614	1A	57176
DNAREP1	1	Helitron-N1	32	Helitron-1	1726	X:174706-175012	174706	175012	174706	175012	1A	103614	1A	57176
Helitron-1	1	DNAREP1	1726	Helitron-N2	89	X:176738-176850	176738	176850	176738	176850	1A	103614	1A	57176
Helitron-N2	1	Helitron-1	89	Helitron-N2	2709	X:176939-176993	176939	176993	176939	176993	1A	103614	1A	57176
Helitron-N2	1	Helitron-N2	2709	DNAREP1	1281	X:179702-179750	179702	179750	179702	179750	1A	103614	1A	57176
DNAREP1	1	Helitron-N2	1281	Helitron-N1	4673	X:181031-181518	181031	181518	181031	181518	1A	103614	1A	57176
Helitron-N1	1	DNAREP1	4673	DNAREP1	1625	X:186191-186400	186191	186400	186191	186400	1A	103614	1A	57176
DNAREP1	1	Helitron-N1	1625	Helitron-N1	32	X:188025-188154	188025	188154	188025	188154	1A	103614	1A	57176
Helitron-N1	1	DNAREP1	32	DNAREP1	528	X:188186-188311	188186	188311	188186	188311	1A	103614	1A	57176
DNAREP1	1	Helitron-N1	528	DNAREP1	7609	X:188839-189298	188839	189298	188839	189298	1A	103614	1A	57176
DNAREP1	1	DNAREP1	7609	BEL-8	8215	X:196907-197397	196907	197397	196907	197397	1A	103614	1A	57176
BEL-8	1	DNAREP1	8215	DNAREP1	795	X:205612-205835	205612	205835	205612	205835	1A	103614	1A	57176
DNAREP1	1	BEL-8	795	Helitron-1N	37	X:206630-206719	206630	206719	206630	206719	1A	103614	1A	57176
Helitron-1N	1	DNAREP1	37	DNAREP1	2593	X:206756-206792	206756	206792	206756	206792	1A	103614	1A	57176
DNAREP1	1	Helitron-1N	2593	DNAREP1	2798	X:209385-209526	209385	209526	209385	209526	1A	103614	1A	57176
DNAREP1	1	DNAREP1	2798	Helitron-2	138	X:212324-212396	212324	212396	212324	212396	1A	103614	1A	57176
Helitron-2	1	DNAREP1	138	DNAREP1	2435	X:212534-212613	212534	212613	212534	212613	1A	103614	1A	57176
DNAREP1	2	Helitron-2	2435	Gypsy6-I	3204	X:215048-215558	215048	215465	215503	215558	1A	103614	1A	57176
Gypsy6-I	1	DNAREP1	3204	Helitron-N2	390	X:218762-218809	218762	218809	218762	218809	1A	103614	1A	57176
Helitron-N2	1	Gypsy6-I	390	Transib-1	611	X:219199-219235	219199	219235	219199	219235	1A	103614	1A	57176
Transib-1	1	Helitron-N2	611	Helitron-1	6273	X:219846-219915	219846	219915	219846	219915	1A	103614	1A	57176
Helitron-1	1	Transib-1	6273	DNAREP1	3724	X:226188-226342	226188	226342	226188	226342	1A	103614	1A	57176
DNAREP1	4	Helitron-1	3724	P	1	X:230066-230579	230066	230136	230538	230579	1A	103614	1A	57176
P	1	DNAREP1	1	Helitron-N1	13227	X:230580-230592	230580	230592	230580	230592	1A	103614	1A	57176
Helitron-N1	1	P	13227	DNAREP1	391	X:243819-243904	243819	243904	243819	243904	1A	103614	1A	57176
DNAREP1	1	Helitron-N1	391	Jockey-3	4295	X:244295-244346	244295	244346	244295	244346	1A	103614	1A	57176
Jockey-3	1	DNAREP1	4295	DNAREP1	1607	X:248641-248787	248641	248787	248641	248787	1A	103614	1A	57176
DNAREP1	1	Jockey-3	1607	Helitron-N1	19816	X:250394-250447	250394	250447	250394	250447	1A	103614	1A	57176
Helitron-N1	1	DNAREP1	19816	Helitron-1	8847	X:270263-270320	270263	270320	270263	270320	1A	103614	1A	57176
Helitron-1	1	Helitron-N1	8847	Helitron-N1	30895	X:279167-279223	279167	279223	279167	279223	1A	103614	1A	57176
Helitron-N1	1	Helitron-1	30895	Helitron-N2	121	X:310118-310193	310118	310193	310118	310193	1A	103614	1B	293202
Helitron-N2	1	Helitron-N1	121	Invader3	16831	X:310314-310411	310314	310411	310314	310411	1A	103614	1B	293202
Invader3	1	Helitron-N2	16831	Gypsy-5	1	X:327242-327536	327242	327536	327242	327536	1A	103614	1B	293202
Gypsy-5	1	Invader3	1	Invader3	1	X:327537-332562	327537	332562	327537	332562	1A	103614	1B	293202
Invader3	1	Gypsy-5	1	Helitron-N2	7945	X:332563-332857	332563	332857	332563	332857	1A	103614	1B	293202
Helitron-N2	1	Invader3	7945	DNAREP1	12858	X:340802-340953	340802	340953	340802	340953	1A	103614	1B	293202
DNAREP1	1	Helitron-N2	12858	ZAM	5971	X:353811-353882	353811	353882	353811	353882	1A	103614	1B	293202
ZAM	1	DNAREP1	5971	Gypsy-27	1818	X:359853-359898	359853	359898	359853	359898	1A	103614	1B	293202
Gypsy-27	1	ZAM	1818	TRANSIB3	8097	X:361716-361754	361716	361754	361716	361754	1A	103614	1B	293202
TRANSIB3 942 994	1	Gypsy-27	8097	Jockey-3	25111	X:369851-369903	369851	369903	369851	369903	1A	103614	1B	293202
Jockey-3	1	TRANSIB3	25111	HeT-A3	5368	X:395014-395269	395014	395269	395014	395269	1A	103614	1B	293202
HeT-A3	1	Jockey-3	5368	Helitron-2	19873	X:400637-400708	400637	400708	400637	400708	1A	103614	1B	293202
Helitron-2	1	HeT-A3	19873	DNAREP1	98	X:420581-420637	420581	420637	420581	420637	1B	408583	1B	293202
DNAREP1	1	Helitron-2	98	hAT-N1	13572	X:420735-420797	420735	420797	420735	420797	1B	408583	1B	293202
hAT-N1	1	DNAREP1	13572	HeT-A3	15935	X:434369-434409	434369	434409	434369	434409	1B	408583	1B	293202
HeT-A3	1	hAT-N1	15935	DNAREP1	21672	X:450344-450413	450344	450413	450344	450413	1B	408583	1B	293202
DNAREP1	1	HeT-A3	21672	Helitron-1	1836	X:472085-472180	472085	472180	472085	472180	1B	408583	1B	293202
Helitron-1	1	DNAREP1	1836	Jockey-3	14285	X:474016-474066	474016	474066	474016	474066	1B	408583	1B	293202
Jockey-3	1	Helitron-1	14285	Gypsy8-I	139	X:488351-488684	488351	488684	488351	488684	1B	408583	1B	293202
Gypsy8-I	1	Jockey-3	139	Jockey-3	13336	X:488823-488876	488823	488876	488823	488876	1B	408583	1B	293202
Jockey-3	1	Gypsy8-I	13336	REP-2	7299	X:502212-502279	502212	502279	502212	502279	1B	408583	1B	293202
REP-2	1	Jockey-3	7299	Galileo	255	X:509578-509712	509578	509712	509578	509712	1B	408583	1B	293202
Galileo	1	REP-2	255	TART	3667	X:509967-510020	509967	510020	509967	510020	1B	408583	1B	293202
TART	1	Galileo	3667	DNAREP1	5179	X:513687-513806	513687	513806	513687	513806	1B	408583	1B	293202
DNAREP1	1	TART	5179	Hoana5	88	X:518985-519229	518985	519229	518985	519229	1B	408583	1B	293202
Hoana5 2305 2369	1	DNAREP1	88	Hoana5	287	X:519317-519382	519317	519382	519317	519382	1B	408583	1B	293202
Hoana5 25 262	1	Hoana5	287	Jockey-3	2183	X:519669-519903	519669	519903	519669	519903	1B	408583	1B	293202
Jockey-3	1	Hoana5	2183	Gypsy8-I	1	X:522086-522106	522086	522106	522086	522106	1B	408583	1B	293202
Gypsy8-I	1	Jockey-3	1	Jockey-3	1	X:522107-522204	522107	522204	522107	522204	1B	408583	1B	293202
Jockey-3	1	Gypsy8-I	1	Jockey-6	2001	X:522205-522239	522205	522239	522205	522239	1B	408583	1B	293202
Jockey-6	1	Jockey-3	2001	Gypsy-11	4031	X:524240-524347	524240	524347	524240	524347	1B	408583	1B	293202
Gypsy-11	1	Jockey-6	4031	DNAREP1	9728	X:528378-528505	528378	528505	528378	528505	1B	408583	1B	293202
DNAREP1	1	Gypsy-11	9728	Homo10	81	X:538233-538310	538233	538310	538233	538310	1B	408583	1B	293202
Homo10 1288 1344	1	DNAREP1	81	DNAREP1	306	X:538391-538444	538391	538444	538391	538444	1B	408583	1B	293202
DNAREP1	1	Homo10	306	Gypsy10-I	6990	X:538750-538806	538750	538806	538750	538806	1B	408583	1B	293202
Gypsy10-I	1	DNAREP1	6990	DNAREP1	1312	X:545796-545824	545796	545824	545796	545824	1B	408583	1B	293202
DNAREP1	2	Gypsy10-I	1312	DNAREP1	10540	X:547136-548260	547136	547245	548192	548260	1B	408583	1B	293202
DNAREP1	1	DNAREP1	10540	Helitron-N1	9245	X:558800-558872	558800	558872	558800	558872	1B	408583	1C	549386
Helitron-N1	1	DNAREP1	9245	DNAREP1	-4	X:568117-568168	568117	568168	568117	568168	1B	408583	1C	549386
DNAREP1	2	Helitron-N1	-4	Helitron-N1	5238	X:568164-568482	568164	568233	568350	568482	1B	408583	1C	549386
Helitron-N1	1	DNAREP1	5238	Helitron-1	129	X:573720-573773	573720	573773	573720	573773	1B	408583	1C	549386
Helitron-1	1	Helitron-N1	129	Helitron-1	5359	X:573902-573983	573902	573983	573902	573983	1B	408583	1C	549386
Helitron-1	1	Helitron-1	5359	DNAREP1	5162	X:579342-579371	579342	579371	579342	579371	1B	408583	1C	549386
DNAREP1	1	Helitron-1	5162	Helitron-N1	840	X:584533-584751	584533	584751	584533	584751	1B	408583	1C	549386
Helitron-N1	2	DNAREP1	840	DNAREP1	6635	X:585591-585797	585591	585653	585749	585797	1B	408583	1C	549386
DNAREP1	1	Helitron-N1	6635	DNAREP1	2963	X:592432-592570	592432	592570	592432	592570	1B	408583	1C	549386
DNAREP1	2	DNAREP1	2963	Transib-1	1257	X:595533-596749	595533	595579	596523	596749	1B	408583	1C	549386
Transib-1	1	DNAREP1	1257	DNAREP1	54598	X:598006-598089	598006	598089	598006	598089	1B	408583	1C	549386
DNAREP1	2	Transib-1	54598	Transib-1	56948	X:652687-653912	652687	652880	653727	653912	1B	408583	1C	549386
Transib-1	1	DNAREP1	56948	DNAREP1	1	X:710860-710874	710860	710874	710860	710874	1C	660484	1C	549386
DNAREP1	1	Transib-1	1	Helitron-2	23745	X:710875-710946	710875	710946	710875	710946	1C	660484	1C	549386
Helitron-2	1	DNAREP1	23745	Transib-1	1	X:734691-734743	734691	734743	734691	734743	1C	660484	1D	711608
Transib-1	1	Helitron-2	1	1.688	15908	X:734744-734759	734744	734759	734744	734759	1C	660484	1D	711608
1.688	1	Transib-1	15908	Gypsy8-I	4176	X:750667-751019	750667	751019	750667	751019	1C	660484	1D	711608
Gypsy8-I	1	1.688	4176	Hoyak2	24645	X:755195-755278	755195	755278	755195	755278	1C	660484	1D	711608
Hoyak2 4 39	1	Gypsy8-I	24645	DNAREP1	1304	X:779923-779958	779923	779958	779923	779958	1C	660484	1D	711608
DNAREP1	1	Hoyak2	1304	1.688	50985	X:781262-781581	781262	781581	781262	781581	1C	660484	1D	711608
1.688	1	DNAREP1	50985	PROTOP	20921	X:832566-832848	832566	832848	832566	832848	1D	831097	1D	711608
PROTOP	1	1.688	20921	PROTOP	-1	X:853769-854262	853769	854262	853769	854262	1D	831097	1D	711608
PROTOP 3468 3530	1	PROTOP	-1	PROTOP	0	X:854261-854322	854261	854322	854261	854322	1D	831097	1D	711608
PROTOP	1	PROTOP	0	M4DM	29025	X:854322-854394	854322	854394	854322	854394	1D	831097	1D	711608
