repeat	count	RPM
1.688.7E.X_8192867_8193226	0.00	0.00
1.688.5F.X_6075746_6076046__reversed_	1.27	0.17
1.688.12E.X_14199984_14200313__reversed_	0.00	0.00
1.688.12E.X_14200315_14200660__reversed_	0.00	0.00
1.688.12E.X_14278337_14278694__reversed_	15.40	2.11
1.688.12E.X_14280453_14280810__reversed_	15.01	2.05
1.688.12E.X_14276575_14276926__reversed_	5.61	0.77
1.688.12E.X_14281174_14281525__reversed_	11.08	1.52
1.688.12E.X_14279743_14280094__reversed_	11.65	1.59
1.688.12E.X_14283263_14283617__reversed_	5.55	0.76
1.688.12E.X_14279081_14279395__reversed_	4.44	0.61
1.688.12E.X_14280815_14281169__reversed_	4.74	0.65
1.688.12E.X_14277290_14277644__reversed_	4.42	0.60
1.688.12E.X_14276216_14276570__reversed_	7.83	1.07
1.688.12E.X_14280099_14280452__reversed_	10.18	1.39
1.688.12E.X_14281889_14282243__reversed_	7.86	1.08
1.688.12E.X_14281530_14281884__reversed_	10.54	1.44
1.688.12E.X_14325752_14326095	0.00	0.00
1.688.12E.X_14326409_14326763	0.65	0.09
1.688.12E.X_14164285_14164612__reversed_	0.50	0.07
1.688.12E.X_14164608_14164935__reversed_	0.50	0.07
1.688.12E.X_14233672_14233972__reversed_	0.00	0.00
1.688.12E.X_14282554_14282908__reversed_	4.61	0.63
1.688.12E.X_14277649_14278003__reversed_	6.34	0.87
1.688.12E.X_14276931_14277285__reversed_	6.63	0.91
1.688.12E.X_14275857_14276211__reversed_	3.62	0.50
1.688.12E.X_14275498_14275852__reversed_	2.00	0.27
1.688.12F.X_14375352_14375706__reversed_	2.42	0.33
1.688.12F.X_14376435_14376788__reversed_	1.58	0.22
1.688.12F.X_14376039_14376385__reversed_	3.44	0.47
1.688.6C.X_6410739_6411079__reversed_	0.00	0.00
1.688.5D.X_5932807_5933139__reversed_	0.00	0.00
1.688.5D.X_5723696_5724027	0.83	0.11
1.688.5D.X_5722986_5723315	0.00	0.00
1.688.5D.X_5753224_5753557__reversed_	0.00	0.00
1.688.5D.X_5753586_5753917__reversed_	0.00	0.00
1.688.5D.X_5723344_5723674	0.08	0.01
1.688.6E.X_6759736_6760039	0.00	0.00
1.688.6F.X_6833455_6833767__reversed_	2.61	0.36
1.688.6E.X_6651425_6651735__reversed_	15.49	2.12
1.688.6E.X_6652495_6652807__reversed_	32.46	4.44
1.688.6E.X_6647148_6647460__reversed_	43.75	5.99
1.688.6E.X_6609813_6610125	71.17	9.74
1.688.6E.X_6610171_6610483	69.33	9.49
1.688.6E.X_6644280_6644592__reversed_	40.00	5.47
1.688.6E.X_6647864_6648175__reversed_	35.51	4.86
1.688.6E.X_6641784_6642096__reversed_	40.25	5.51
1.688.6E.X_6649647_6649959__reversed_	44.92	6.15
1.688.6E.X_6652852_6653163__reversed_	28.55	3.91
1.688.6E.X_6650716_6651028__reversed_	34.20	4.68
1.688.6E.X_6656748_6657061__reversed_	33.91	4.64
1.688.6E.X_6658496_6658808__reversed_	24.39	3.34
1.688.6E.X_6653564_6653877__reversed_	66.27	9.07
1.688.6E.X_6653207_6653520__reversed_	78.67	10.77
1.688.6E.X_6649290_6649602__reversed_	28.68	3.92
1.688.6E.X_6654648_6654954__reversed_	53.56	7.33
1.688.6E.X_6652138_6652449__reversed_	28.60	3.91
1.688.6E.X_6655000_6655313__reversed_	36.06	4.94
1.688.6E.X_6653923_6654236__reversed_	51.89	7.10
1.688.6E.X_6644996_6645311__reversed_	30.63	4.19
1.688.6E.X_6642499_6642814__reversed_	72.34	9.90
1.688.6E.X_6651780_6652093__reversed_	38.86	5.32
1.688.6E.X_6604019_6604332	15.36	2.10
1.688.6E.X_6648576_6648889__reversed_	71.92	9.84
1.688.6E.X_6657463_6657776__reversed_	50.14	6.86
1.688.6E.X_6646789_6647102__reversed_	60.96	8.34
1.688.6E.X_6655715_6656028__reversed_	39.92	5.46
1.688.6E.X_6651072_6651380__reversed_	6.24	0.85
1.688.6E.X_6643576_6643889__reversed_	30.75	4.21
1.688.6E.X_6646430_6646743__reversed_	45.72	6.26
1.688.6E.X_6645356_6645668__reversed_	49.20	6.73
1.688.6E.X_6643219_6643531__reversed_	35.79	4.90
1.688.6E.X_6644637_6644950__reversed_	36.30	4.97
1.688.6E.X_6642141_6642454__reversed_	52.89	7.24
1.688.6E.X_6646071_6646384__reversed_	34.87	4.77
1.688.6E.X_6642860_6643173__reversed_	53.23	7.28
1.688.6E.X_6641080_6641393__reversed_	44.16	6.04
1.688.6E.X_6645714_6646026__reversed_	65.75	9.00
1.688.6E.X_6650359_6650671__reversed_	36.09	4.94
1.688.6E.X_6647506_6647818__reversed_	61.02	8.35
1.688.6E.X_6657106_6657418__reversed_	36.53	5.00
1.688.6E.X_6654281_6654593__reversed_	41.39	5.66
1.688.6E.X_6655358_6655670__reversed_	42.86	5.87
1.688.6E.X_6648934_6649246__reversed_	65.28	8.93
1.688.6E.X_6609455_6609767	32.56	4.46
1.688.6E.X_6657821_6658133__reversed_	32.62	4.46
1.688.6E.X_6656073_6656385__reversed_	37.35	5.11
1.688.6E.X_6648219_6648531__reversed_	41.23	5.64
1.688.6E.X_6650003_6650315__reversed_	43.80	5.99
1.688.6E.X_6682230_6682542	15.19	2.08
1.688.7A.X_6947917_6948220	1.94	0.27
1.688.7A.X_6948265_6948581	2.70	0.37
1.688.7B.X_7145648_7145953	0.00	0.00
1.688.6F.X_6833821_6834123__reversed_	1.87	0.26
1.688.7A.X_6894003_6894309__reversed_	0.24	0.03
1.688.7B.X_7454792_7455130	0.00	0.00
1.688.11E.X_13113908_13114218__reversed_	1.77	0.24
1.688.12C.X_13747874_13748211__reversed_	0.96	0.13
1.688.13D.X_15594689_15595051__reversed_	0.84	0.11
1.688.13D.X_15595352_15595665__reversed_	0.67	0.09
