name	start	end	Cyto_band	Cyto_start	species	flanking	age	Repeats	palindrome	NewCyto	TransCoor
chrX	254313	255813	1A	103614	mau	yes	old	10	no	1A	192927
chrX	256190	257144	1A	103614	mau	yes	new	7	no	1A	192927
chrX	258167	258520	1A	103614	mau	yes	NA	3	no	1A	192927
chrX	262488	264620	1A	103614	mau	yes	new	14	no	1A	192927
chrX	266565	270196	1A	103614	mau	yes	old	23	no	1A	192927
chrX	296414	300678	1A	103614	mau	yes	old	27	no	1A	192927
chrX	940395	941643	1D	831097	mau	no	old	9	no	1D	846301
chrX	1500521	1500671	2B	1475669	mau	no	NA	1	no	2B	1478322
chrX	2379195	2383030	3A	2328358	mau	yes	old	20	no	3A	2296574
chrX	2624910	2626573	3A	2328358	mau	yes	new	11	no	3A	2296574
chrX	3707481	3709803	3E	3614213	mau	yes	new	15	no	3F	3618744
chrX	3970254	3970910	4A	3955447	mau	no	new	4	no	4B	3965827
chrX	4215346	4216151	4B	4115669	mau	no	old	5	yes	4C	4170014
chrX	4765418	4765575	4D	4749024	mau	no	NA	1	no	4D	4596776
chrX	5238437	5238493	4F	5107107	mau	no	NA	1	no	4F	4918875
chrX	5323209	5323251	4F	5107107	mau	yes	NA	1	no	5A	5272966
chrX	6190624	6191609	5D	5955321	mau	no	new	6	no	5F	6117046
chrX	6739795	6739900	6C	6585391	mau	yes	NA	1	yes	6E	6639414
chrX	7019153	7019195	6E	6863446	mau	no	NA	1	no	7A	6955685
chrX	7603296	7603369	7B	7286018	mau	yes	NA	1	yes	7C	7575648
chrX	12479743	12479800	11A	11982050	mau	no	NA	1	no	11B	12301945
chrX	12777817	12780190	11C	12772076	mau	yes	new	15	no	11D	12650684
chrX	12914400	12918003	11D	12836467	mau	yes	new	22	no	11D	12650684
chrX	12993949	12995740	11D	12836467	mau	yes	new	11	no	11E	12919685
chrX	13042463	13043100	11D	12836467	mau	yes	new	4	no	11E	12919685
chrX	14425869	14427486	12E	14080988	mau	no	new	11	no	12F	14335404
chrX	1462550	1462700	2A	1368553	sech	no	NA	1	no	2B	1440743
chrX	2114248	2119890	2D	2083109	sech	no	old	35	no	2E	2077391
chrX	2309024	2316144	2F	2223442	sech	yes	old	42	no	3A	2227146
chrX	2558819	2559696	3A	2328358	sech	no	old	6	no	3A	2227146
chrX	3908114	3908438	3F	3765078	sech	no	NA	2	no	4B	3903504
chrX	4155073	4156210	4B	4115669	sech	no	old	7	yes	4C	4105828
chrX	4719974	4720131	4C	4333244	sech	no	NA	1	no	4D	4533726
chrX	6133548	6134204	5D	5955321	sech	no	new	4	no	6A	6129588
chrX	6683070	6683215	6C	6585391	sech	yes	NA	1	no	6E	6582864
chrX	6947557	6947599	6E	6863446	sech	no	NA	1	yes	7A	6861263
chrX	7532077	7532133	7B	7286018	sech	no	NA	1	yes	7C	7502408
chrX	12449271	12449328	11A	11982050	sech	yes	NA	1	no	11B	12297764
chrX	115455	115648	1A	103614	sim	yes	NA	2	yes	1A	57176
chrX	116361	116554	1A	103614	sim	yes	NA	2	yes	1A	57176
chrX	116909	117102	1A	103614	sim	yes	NA	2	yes	1A	57176
chrX	117819	118177	1A	103614	sim	yes	NA	3	yes	1A	57176
chrX	119958	121627	1A	103614	sim	yes	old	11	yes	1A	57176
chrX	145485	152808	1A	103614	sim	yes	old	45	yes	1A	57176
chrX	1356560	1356705	1F	1254810	sim	no	NA	1	no	2B	1334293
chrX	2009747	2012205	2C	1972107	sim	yes	new	15	no	2E	1995128
chrX	2211579	2214327	2E	2173103	sim	yes	old	17	no	3A	2128829
chrX	2463265	2464076	3A	2328358	sim	no	old	6	yes	3A	2128829
chrX	3556166	3558168	3D	3312266	sim	yes	old	13	yes	3F	3460214
chrX	3828548	3829372	3F	3765078	sim	no	new	5	no	4B	3824177
chrX	4093471	4094607	4A	3955447	sim	no	old	7	yes	4C	4045518
chrX	4648074	4648231	4C	4333244	sim	no	NA	1	no	4D	4477033
chrX	5191811	5193190	4F	5107107	sim	yes	new	9	no	5A	5173167
chrX	5193451	5193493	4F	5107107	sim	yes	NA	1	no	5A	5173167
chrX	6059816	6060472	5D	5955321	sim	no	NA	3	no	6A	6047379
chrX	6577827	6577878	6B	6516901	sim	yes	NA	1	no	6E	6505252
chrX	6843772	6843814	6D	6779511	sim	no	NA	1	no	7A	6781304
chrX	7416537	7416611	7B	7286018	sim	no	NA	1	yes	7C	7398545
chrX	7614028	7614747	7B	7286018	sim	yes	new	5	yes	7D	7611898
chrX	8784931	8787858	8B	8768351	sim	yes	new	19	yes	8D	8781722
chrX	10054790	10055588	9A	9709557	sim	yes	new	5	yes	9C	10044527
chrX	10105021	10106725	9B	10055611	sim	yes	new	11	yes	9D	10099860
chrX	10591871	10595716	9D	10466209	sim	yes	new	24	yes	9F	10410466
chrX	10645594	10646496	9E	10645359	sim	yes	new	6	yes	10A	10601895
chrX	11437916	11440439	10B	11198804	sim	yes	new	16	yes	10F	11405828
chrX	12232421	12234314	11A	11982050	sim	yes	new	12	yes	11B	12075777
chrX	12234609	12234666	11A	11982050	sim	yes	NA	1	no	11B	12075777
chrX	12346361	12347318	11A	11982050	sim	yes	new	7	yes	11C	12329880
chrX	12513661	12513929	11A	11982050	sim	yes	NA	3	no	11D	12404894
chrX	12603926	12604640	11B	12525917	sim	yes	new	5	yes	11D	12404894
chrX	12660820	12662095	11B	12525917	sim	yes	old	9	yes	11D	12404894
chrX	12738482	12741330	11B	12525917	sim	yes	new	19	yes	11E	12664103
chrX	12788391	12789168	11C	12772076	sim	yes	new	6	yes	11E	12664103
chrX	13396089	13398272	11F	13346260	sim	yes	new	14	yes	12C	13320027
chrX	14113574	14114284	12E	14080988	sim	yes	old	5	yes	12F	14029097
chrX	14163690	14165711	12E	14080988	sim	yes	new	13	yes	12F	14029097
chrX	199866	199933	1A	103614	mel	no	NA	1	no	1A	103614
chrX	265828	265870	1A	103614	mel	no	NA	1	no	1A	103614
chrX	1517890	1518036	2B	1475669	mel	no	NA	1	yes	2B	1475669
chrX	2424646	2424687	3A	2328358	mel	yes	NA	1	no	3A	2328358
chrX	2426474	2427088	3A	2328358	mel	no	new	4	yes	3A	2328358
chrX	2679638	2679745	3B	2666235	mel	yes	NA	1	no	3B	2666235
chrX	4130132	4130967	4B	4115669	mel	no	old	5	no	4B	4115669
chrX	4383278	4384749	4C	4333244	mel	no	old	9	no	4C	4333244
chrX	4956185	4956343	4D	4749024	mel	no	NA	1	no	4D	4749024
chrX	5442467	5442528	4F	5107107	mel	no	NA	1	no	4F	5107107
chrX	5524126	5524170	5A	5475817	mel	no	NA	1	no	5A	5475817
chrX	5817417	5817470	5C	5766003	mel	yes	NA	1	no	5C	5766003
chrX	6951289	6952112	6E	6863446	mel	no	new	6	yes	6E	6863446
chrX	6953000	6953042	6E	6863446	mel	yes	NA	1	no	6E	6863446
chrX	6957395	6957481	6E	6863446	mel	yes	NA	1	no	6E	6863446
chrX	7242614	7242653	7A	7150637	mel	no	NA	1	no	7A	7150637
chrX	8266787	8266867	7E	8246255	mel	yes	NA	1	no	7E	8246255
chrX	11706192	11706430	10D	11607196	mel	yes	NA	3	no	10D	11607196
chrX	22255799	22255952	20B	21675681	mel	no	NA	1	no	20B	21675681
