"repeats"	"read_count"	"num_annotations"	"num_bases"	"perc_reads"	"RPM"	"ncountsRPM"
"1"	"RSP.het.seq1.count:79"	2222.93	79	9085	0.00213	21.33	0.27
"7"	"RSP.het.seq7.count:30"	1285.69	30	3480	0.00123	12.34	0.411333333333333
"8"	"RSP.het.seq8.count:30"	1256.71	30	3480	0.00121	12.06	0.402
"4"	"RSP.het.seq4.count:33"	1200.56	33	3795	0.00115	11.52	0.349090909090909
"3"	"RSP.het.seq3.count:34"	1131.63	34	3944	0.00109	10.86	0.319411764705882
"2"	"RSP.het.seq2.count:40"	1056.19	40	4640	0.00101	10.14	0.2535
"9"	"RSP.het.seq9.count:25"	1044.79	25	2900	0.001	10.03	0.4012
"6"	"RSP.het.seq6.count:30"	935.16	30	3480	9e-04	8.97	0.299
"5"	"RSP.het.seq5.count:32"	917.74	32	3712	0.00088	8.81	0.2753125
"12"	"RSP.het.seq12.count:12"	540.5	12	1392	0.00052	5.19	0.4325
"10"	"RSP.het.seq10.count:16"	534.26	16	1840	0.00051	5.13	0.320625
"14"	"RSP.het.seq14.count:11"	449.82	11	1265	0.00043	4.32	0.392727272727273
"15"	"RSP.het.seq15.count:10"	447.09	10	1150	0.00043	4.29	0.429
"11"	"RSP.het.seq11.count:13"	320.11	13	1495	0.00031	3.07	0.236153846153846
"24"	"RSP.het.seq24.count:7"	278.44	7	812	0.00027	2.67	0.381428571428571
"34"	"RSP.het.seq34.count:5"	278.2	5	565	0.00027	2.67	0.534
"20"	"RSP.het.seq20.count:8"	233.91	8	904	0.00022	2.24	0.28
"23"	"RSP.het.seq23.count:8"	232.96	8	920	0.00022	2.24	0.28
"13"	"RSP.het.seq13.count:11"	229.09	11	1276	0.00022	2.2	0.2
"66"	"RSP.het.seq66.count:3"	218.15	3	345	0.00021	2.09	0.696666666666667
"39"	"RSP.het.seq39.count:5"	204.31	5	580	2e-04	1.96	0.392
"22"	"RSP.het.seq22.count:8"	190.27	8	920	0.00018	1.83	0.22875
"32"	"RSP.het.seq32.count:6"	190.49	6	696	0.00018	1.83	0.305
"29"	"RSP.het.seq29.count:6"	174.18	6	690	0.00017	1.67	0.278333333333333
"27"	"RSP.het.seq27.count:6"	172.83	6	696	0.00017	1.66	0.276666666666667
"35"	"RSP.het.seq35.count:5"	164.08	5	580	0.00016	1.57	0.314
"54"	"RSP.het.seq54.count:4"	160.93	4	464	0.00015	1.54	0.385
"59"	"RSP.het.seq59.count:4"	155.86	4	460	0.00015	1.5	0.375
"18"	"RSP.het.seq18.count:9"	152.37	9	1035	0.00015	1.46	0.162222222222222
"17"	"RSP.het.seq17.count:10"	141.63	10	1150	0.00014	1.36	0.136
"26"	"RSP.het.seq26.count:7"	137.59	7	805	0.00013	1.32	0.188571428571429
"21"	"RSP.het.seq21.count:8"	135.65	8	928	0.00013	1.3	0.1625
"41"	"RSP.het.seq41.count:5"	127.89	5	580	0.00012	1.23	0.246
"28"	"RSP.het.seq28.count:6"	119.48	6	696	0.00011	1.15	0.191666666666667
"43"	"RSP.het.seq43.count:4"	101.43	4	464	1e-04	0.97	0.2425
"50"	"RSP.het.seq50.count:4"	99.42	4	464	1e-04	0.95	0.2375
"30"	"RSP.het.seq30.count:6"	97.39	6	690	9e-05	0.93	0.155
"86"	"RSP.het.seq86.count:2"	90.58	2	226	9e-05	0.87	0.435
"84"	"RSP.het.seq84.count:3"	86.4	3	345	8e-05	0.83	0.276666666666667
"363"	"RSP.het.seq363.count:1"	82.04	1	115	8e-05	0.79	0.79
"55"	"RSP.het.seq55.count:4"	80.13	4	464	8e-05	0.77	0.1925
"74"	"RSP.het.seq74.count:3"	77.39	3	345	7e-05	0.74	0.246666666666667
"248"	"RSP.het.seq248.count:1"	77.5	1	114	7e-05	0.74	0.74
"141"	"RSP.het.seq141.count:2"	76.13	2	232	7e-05	0.73	0.365
"64"	"RSP.het.seq64.count:3"	74.93	3	348	7e-05	0.72	0.24
"118"	"RSP.het.seq118.count:2"	72.02	2	232	7e-05	0.69	0.345
"570"	"RSP.het.seq570.count:1"	70.14	1	116	7e-05	0.67	0.67
"101"	"RSP.het.seq101.count:2"	68.32	2	230	7e-05	0.66	0.33
"63"	"RSP.het.seq63.count:3"	66.95	3	348	6e-05	0.64	0.213333333333333
"65"	"RSP.het.seq65.count:3"	65.28	3	345	6e-05	0.63	0.21
"88"	"RSP.het.seq88.count:2"	65.62	2	230	6e-05	0.63	0.315
"214"	"RSP.het.seq214.count:1"	66.15	1	116	6e-05	0.63	0.63
"83"	"RSP.het.seq83.count:3"	62.69	3	345	6e-05	0.6	0.2
"159"	"RSP.het.seq159.count:2"	62.37	2	232	6e-05	0.6	0.3
"19"	"RSP.het.seq19.count:9"	60.18	9	972	6e-05	0.58	0.0644444444444444
"31"	"RSP.het.seq31.count:6"	60.01	6	690	6e-05	0.58	0.0966666666666667
"110"	"RSP.het.seq110.count:2"	59.48	2	230	6e-05	0.57	0.285
"172"	"RSP.het.seq172.count:2"	59.86	2	232	6e-05	0.57	0.285
"25"	"RSP.het.seq25.count:7"	58.25	7	805	6e-05	0.56	0.08
"419"	"RSP.het.seq419.count:1"	58.37	1	116	6e-05	0.56	0.56
"244"	"RSP.het.seq244.count:1"	56.11	1	114	5e-05	0.54	0.54
"259"	"RSP.het.seq259.count:1"	56.63	1	115	5e-05	0.54	0.54
"321"	"RSP.het.seq321.count:1"	55.98	1	116	5e-05	0.54	0.54
"383"	"RSP.het.seq383.count:1"	56.63	1	116	5e-05	0.54	0.54
"56"	"RSP.het.seq56.count:4"	54.06	4	456	5e-05	0.52	0.13
"102"	"RSP.het.seq102.count:2"	54.51	2	232	5e-05	0.52	0.26
"276"	"RSP.het.seq276.count:1"	54.39	1	114	5e-05	0.52	0.52
"404"	"RSP.het.seq404.count:1"	53.27	1	112	5e-05	0.51	0.51
"48"	"RSP.het.seq48.count:4"	52.14	4	464	5e-05	0.5	0.125
"253"	"RSP.het.seq253.count:1"	52.09	1	115	5e-05	0.5	0.5
"117"	"RSP.het.seq117.count:2"	49.94	2	230	5e-05	0.48	0.24
"390"	"RSP.het.seq390.count:1"	50.21	1	114	5e-05	0.48	0.48
"417"	"RSP.het.seq417.count:1"	47.49	1	115	5e-05	0.46	0.46
"58"	"RSP.het.seq58.count:4"	47.26	4	348	5e-05	0.45	0.1125
"140"	"RSP.het.seq140.count:2"	46.88	2	232	4e-05	0.45	0.225
"184"	"RSP.het.seq184.count:2"	47.34	2	230	5e-05	0.45	0.225
"190"	"RSP.het.seq190.count:1"	46.81	1	116	4e-05	0.45	0.45
"558"	"RSP.het.seq558.count:1"	46.62	1	115	4e-05	0.45	0.45
"60"	"RSP.het.seq60.count:3"	44.34	3	342	4e-05	0.43	0.143333333333333
"286"	"RSP.het.seq286.count:1"	45	1	116	4e-05	0.43	0.43
"382"	"RSP.het.seq382.count:1"	44.45	1	115	4e-05	0.43	0.43
"441"	"RSP.het.seq441.count:1"	44.81	1	116	4e-05	0.43	0.43
"538"	"RSP.het.seq538.count:1"	44.96	1	116	4e-05	0.43	0.43
"156"	"RSP.het.seq156.count:2"	43.48	2	230	4e-05	0.42	0.21
"218"	"RSP.het.seq218.count:1"	43.66	1	115	4e-05	0.42	0.42
"226"	"RSP.het.seq226.count:1"	43.32	1	115	4e-05	0.42	0.42
"393"	"RSP.het.seq393.count:1"	43.35	1	115	4e-05	0.42	0.42
"16"	"RSP.het.seq16.count:10"	43.2	10	1130	4e-05	0.41	0.041
"52"	"RSP.het.seq52.count:4"	42.48	4	460	4e-05	0.41	0.1025
"175"	"RSP.het.seq175.count:2"	42.56	2	230	4e-05	0.41	0.205
"239"	"RSP.het.seq239.count:1"	42.6	1	116	4e-05	0.41	0.41
"255"	"RSP.het.seq255.count:1"	42.31	1	116	4e-05	0.41	0.41
"297"	"RSP.het.seq297.count:1"	43.07	1	116	4e-05	0.41	0.41
"556"	"RSP.het.seq556.count:1"	41.87	1	115	4e-05	0.4	0.4
"61"	"RSP.het.seq61.count:3"	40.5	3	348	4e-05	0.39	0.13
"94"	"RSP.het.seq94.count:2"	40.86	2	230	4e-05	0.39	0.195
"115"	"RSP.het.seq115.count:2"	40.2	2	232	4e-05	0.39	0.195
"170"	"RSP.het.seq170.count:2"	39.67	2	230	4e-05	0.38	0.19
"206"	"RSP.het.seq206.count:1"	39.45	1	116	4e-05	0.38	0.38
"33"	"RSP.het.seq33.count:6"	38.71	6	522	4e-05	0.37	0.0616666666666667
"562"	"RSP.het.seq562.count:1"	39.01	1	116	4e-05	0.37	0.37
"82"	"RSP.het.seq82.count:3"	37.16	3	345	4e-05	0.36	0.12
"165"	"RSP.het.seq165.count:2"	37.99	2	232	4e-05	0.36	0.18
"174"	"RSP.het.seq174.count:2"	37.78	2	230	4e-05	0.36	0.18
"346"	"RSP.het.seq346.count:1"	36.6	1	115	4e-05	0.35	0.35
"399"	"RSP.het.seq399.count:1"	36.46	1	116	3e-05	0.35	0.35
"525"	"RSP.het.seq525.count:1"	36.38	1	115	3e-05	0.35	0.35
