Cluster	Repeats	Closest upstream	Dist upstream	Closest downstream	Dist downstream	Coords	First_start	First_end	Last_start	Last_end	Cyto_band	Cyto_start
Helitron-1	1	Helitron-N2	261	DNAREP1	1711	X:103939-104006	103939	104006	103939	104006	1A	103614
DNAREP1	1	Helitron-1	1711	REP-2	2118	X:105717-106126	105717	106126	105717	106126	1A	103614
REP-2	1	DNAREP1	2118	DNAREP1	70	X:108244-108401	108244	108401	108244	108401	1A	103614
DNAREP1	1	REP-2	70	Hoyak2 2521 2560	740	X:108471-108709	108471	108709	108471	108709	1A	103614
Hoyak2 2521 2560	1	DNAREP1	740	Helitron-2	211	X:109449-109488	109449	109488	109449	109488	1A	103614
Helitron-2	1	Hoyak2 2521 2560	211	DNAREP1	1749	X:109699-109771	109699	109771	109699	109771	1A	103614
DNAREP1	2	Helitron-2	1749	1.688	3300	X:111520-111819	111520	111709	111743	111819	1A	103614
1.688	1	DNAREP1	3300	RSP-LIKE	34	X:115119-115421	115119	115421	115119	115421	1A	103614
RSP-LIKE	2	1.688	34	1.688	3	X:115455-115648	115455	115532	115534	115648	1A	103614
1.688	2	RSP-LIKE	3	RSP-LIKE	-3	X:115651-116364	115651	116008	116009	116364	1A	103614
RSP-LIKE	2	1.688	-3	1.688	3	X:116361-116554	116361	116438	116440	116554	1A	103614
1.688	1	RSP-LIKE	3	RSP-LIKE	-3	X:116557-116912	116557	116912	116557	116912	1A	103614
RSP-LIKE	2	1.688	-3	1.688	3	X:116909-117102	116909	116986	116988	117102	1A	103614
1.688	2	RSP-LIKE	3	RSP-LIKE	-3	X:117105-117822	117105	117461	117467	117822	1A	103614
RSP-LIKE	3	1.688	-3	1.688	8	X:117819-118177	117819	117896	118063	118177	1A	103614
1.688	4	RSP-LIKE	8	RSP-LIKE	-3	X:118185-119961	118185	118536	119602	119961	1A	103614
RSP-LIKE	11	1.688	-3	1.688	291	X:119958-121627	119958	120035	121501	121627	1A	103614
1.688	2	RSP-LIKE	291	DNAREP1	9	X:121918-122429	121918	122111	122117	122429	1A	103614
DNAREP1	1	1.688	9	1.688	11	X:122438-122545	122438	122545	122438	122545	1A	103614
1.688	1	DNAREP1	11	GENE	187	X:122556-122648	122556	122648	122556	122648	1A	103614
GENE	1	1.688	187	Helitron-N2	-1667	X:122835-124715	122835	124715	122835	124715	1A	103614
Helitron-N2	1	GENE	-1667	GENE	1951	X:123048-123118	123048	123118	123048	123118	1A	103614
GENE	4	Helitron-N2	1951	FB4	-3423	X:125069-143945	125069	133210	137301	143945	1A	103614
FB4	1	GENE	-3423	Helitron-N2	1318	X:140522-140666	140522	140666	140522	140666	1A	103614
Helitron-N2	1	FB4	1318	1.688	3124	X:141984-142112	141984	142112	141984	142112	1A	103614
1.688	1	Helitron-N2	3124	RSP-LIKE	-3	X:145236-145488	145236	145488	145236	145488	1A	103614
RSP-LIKE	45	1.688	-3	1.688	273	X:145485-152808	145485	145562	152682	152808	1A	103614
1.688	5	RSP-LIKE	273	GENE	444	X:153081-154817	153081	153276	154651	154817	1A	103614
GENE	1	1.688	444	GENE	1748	X:155261-155854	155261	155854	155261	155854	1A	103614
GENE	1	GENE	1748	DNAREP1	-4796	X:157602-168888	157602	168888	157602	168888	1A	103614
DNAREP1	1	GENE	-4796	Helitron-N2	1806	X:164092-164582	164092	164582	164092	164582	1A	103614
Helitron-N2	1	DNAREP1	1806	Transib-7	3231	X:166388-166554	166388	166554	166388	166554	1A	103614
Transib-7	1	Helitron-N2	3231	Transib-6	55	X:169785-169841	169785	169841	169785	169841	1A	103614
Transib-6	1	Transib-7	55	Transib-7	20	X:169896-170056	169896	170056	169896	170056	1A	103614
Transib-7	2	Transib-6	20	DNAREP1	904	X:170076-170586	170076	170428	170462	170586	1A	103614
DNAREP1	2	Transib-7	904	GENE	843	X:171490-171769	171490	171645	171656	171769	1A	103614
GENE	1	DNAREP1	843	Helitron-N1	-10262	X:172612-184868	172612	184868	172612	184868	1A	103614
Helitron-N1	1	GENE	-10262	DNAREP1	32	X:174606-174674	174606	174674	174606	174674	1A	103614
DNAREP1	1	Helitron-N1	32	Helitron-1	1726	X:174706-175012	174706	175012	174706	175012	1A	103614
Helitron-1	1	DNAREP1	1726	Helitron-N2	89	X:176738-176850	176738	176850	176738	176850	1A	103614
Helitron-N2	1	Helitron-1	89	Helitron-N2	2709	X:176939-176993	176939	176993	176939	176993	1A	103614
Helitron-N2	1	Helitron-N2	2709	DNAREP1	1281	X:179702-179750	179702	179750	179702	179750	1A	103614
DNAREP1	1	Helitron-N2	1281	Helitron-N1	4673	X:181031-181518	181031	181518	181031	181518	1A	103614
Helitron-N1	1	DNAREP1	4673	DNAREP1	1625	X:186191-186400	186191	186400	186191	186400	1A	103614
DNAREP1	1	Helitron-N1	1625	Helitron-N1	32	X:188025-188154	188025	188154	188025	188154	1A	103614
Helitron-N1	1	DNAREP1	32	DNAREP1	528	X:188186-188311	188186	188311	188186	188311	1A	103614
DNAREP1	1	Helitron-N1	528	GENE	1309	X:188839-189298	188839	189298	188839	189298	1A	103614
GENE	1	DNAREP1	1309	DNAREP1	5713	X:190607-191194	190607	191194	190607	191194	1A	103614
DNAREP1	1	GENE	5713	GENE	408	X:196907-197397	196907	197397	196907	197397	1A	103614
GENE	2	DNAREP1	408	BEL-8	-6572	X:197805-212184	197805	199254	199292	212184	1A	103614
BEL-8	1	GENE	-6572	DNAREP1	795	X:205612-205835	205612	205835	205612	205835	1A	103614
DNAREP1	1	BEL-8	795	Helitron-1N	37	X:206630-206719	206630	206719	206630	206719	1A	103614
Helitron-1N	1	DNAREP1	37	DNAREP1	2593	X:206756-206792	206756	206792	206756	206792	1A	103614
DNAREP1	1	Helitron-1N	2593	DNAREP1	2798	X:209385-209526	209385	209526	209385	209526	1A	103614
DNAREP1	1	DNAREP1	2798	Helitron-2	138	X:212324-212396	212324	212396	212324	212396	1A	103614
Helitron-2	1	DNAREP1	138	DNAREP1	2435	X:212534-212613	212534	212613	212534	212613	1A	103614
DNAREP1	2	Helitron-2	2435	Gypsy6-I	3204	X:215048-215558	215048	215465	215503	215558	1A	103614
Gypsy6-I	1	DNAREP1	3204	Helitron-N2	390	X:218762-218809	218762	218809	218762	218809	1A	103614
Helitron-N2	1	Gypsy6-I	390	Transib-1	611	X:219199-219235	219199	219235	219199	219235	1A	103614
