repeat	count	RPM
RSP_LIKE.4C.X_4155887_4156050	5.67	0.78
RSP_LIKE.4C.X_4155557_4155720	13.84	1.89
RSP_LIKE.4C.X_4155227_4155390	6.84	0.94
RSP_LIKE.4C.X_4155392_4155555	8.54	1.17
RSP_LIKE.4C.X_4155722_4155885	13.49	1.85
RSP_LIKE.2E.X_2114248_2114375	0.52	0.07
RSP_LIKE.3A.X_2309024_2309144	0.00	0.00
RSP_LIKE.dere.consensus_1_169	*	*
RSP_LIKE.3A.X_2316014_2316144	0.27	0.04
RSP_LIKE.het.U_319_2582_2736__reversed_	0.76	0.10
RSP_LIKE.het.U_319_5_154__reversed_	0.00	0.00
RSP_LIKE.het.U_132_62143_62283__reversed_	71.46	9.78
RSP_LIKE.het.U_331_115808_115974	1.25	0.17
RSP_LIKE.het.U_315_30804_30964	15.36	2.10
RSP_LIKE.het.U_317_82746_82903__reversed_	0.91	0.12
RSP_LIKE.het.U_312_106999_107160	39.27	5.37
RSP_LIKE.het.U_331_9242_9401	10.99	1.50
RSP_LIKE.het.U_104_25623_25784	7.80	1.07
RSP_LIKE.het.U_331_47019_47178	2.63	0.36
RSP_LIKE.het.U_331_5405_5564	0.80	0.11
RSP_LIKE.het.U_331_22389_22548	5.79	0.79
RSP_LIKE.het.U_319_21534_21694__reversed_	5.26	0.72
RSP_LIKE.het.U_319_23281_23439__reversed_	0.00	0.00
RSP_LIKE.het.U_93_1268_1427__reversed_	13.74	1.88
RSP_LIKE.het.U_124_32108_32267__reversed_	8.44	1.15
RSP_LIKE.het.U_124_51246_51406__reversed_	1.77	0.24
RSP_LIKE.het.U_313_17011_17173	20.20	2.76
RSP_LIKE.het.U_331_15626_15788	167.86	22.97
RSP_LIKE.het.U_132_32464_32621__reversed_	1.29	0.18
RSP_LIKE.het.U_319_33471_33632__reversed_	2.53	0.35
RSP_LIKE.het.U_84_28713_28873__reversed_	2.94	0.40
RSP_LIKE.het.U_84_19381_19544__reversed_	49.93	6.83
RSP_LIKE.het.U_132_27586_27741__reversed_	0.00	0.00
RSP_LIKE.het.U_124_7794_7955__reversed_	30.19	4.13
RSP_LIKE.het.U_319_25014_25173__reversed_	193.20	26.44
RSP_LIKE.het.U_317_85892_86052__reversed_	88.23	12.08
RSP_LIKE.het.U_317_84643_84804__reversed_	22.45	3.07
RSP_LIKE.het.U_124_30716_30875__reversed_	0.00	0.00
RSP_LIKE.het.U_104_81176_81336__reversed_	1.11	0.15
RSP_LIKE.het.U_317_37224_37382__reversed_	0.00	0.00
RSP_LIKE.het.U_316_8200_8357	17.28	2.36
RSP_LIKE.het.U_104_42468_42629__reversed_	44.12	6.04
RSP_LIKE.het.U_331_31913_32072	2.87	0.39
RSP_LIKE.het.U_313_28786_28945	0.00	0.00
RSP_LIKE.het.U_331_34506_34664	0.91	0.12
RSP_LIKE.het.U_313_27819_27979	0.24	0.03
RSP_LIKE.het.U_331_37419_37578	0.87	0.12
RSP_LIKE.het.U_78_37758_37915__reversed_	0.05	0.01
RSP_LIKE.het.U_315_13443_13600	0.29	0.04
RSP_LIKE.het.U_93_29584_29741__reversed_	1.29	0.18
RSP_LIKE.het.U_315_11340_11498	0.54	0.07
RSP_LIKE.het.U_150_12943_13101__reversed_	0.00	0.00
RSP_LIKE.het.U_104_69639_69796__reversed_	0.00	0.00
RSP_LIKE.het.U_331_31594_31751	0.45	0.06
RSP_LIKE.het.U_317_56831_56978__reversed_	17.10	2.34
RSP_LIKE.het.U_78_19837_19969__reversed_	1.30	0.18
RSP_LIKE.het.U_319_42629_42783__reversed_	0.00	0.00
RSP_LIKE.het.U_124_22376_22537__reversed_	43.88	6.01
RSP_LIKE.het.U_316_9986_10143	13.12	1.80
RSP_LIKE.het.U_104_77381_77539__reversed_	2.91	0.40
RSP_LIKE.het.U_104_76739_76898__reversed_	2.41	0.33
RSP_LIKE.het.U_84_5189_5348__reversed_	2.73	0.37
RSP_LIKE.het.U_77_76779_76936__reversed_	0.00	0.00
RSP_LIKE.het.U_78_13819_13944__reversed_	0.33	0.05
RSP_LIKE.het.U_124_38615_38772__reversed_	2.06	0.28
RSP_LIKE.het.U_124_30412_30568__reversed_	0.00	0.00
RSP_LIKE.het.U_77_58346_58501__reversed_	0.00	0.00
RSP_LIKE.het.U_77_74084_74239__reversed_	0.00	0.00
RSP_LIKE.het.U_319_32990_33146__reversed_	0.59	0.08
RSP_LIKE.het.U_317_42004_42159__reversed_	0.00	0.00
RSP_LIKE.het.U_124_33021_33178__reversed_	0.45	0.06
RSP_LIKE.het.U_132_36945_37081__reversed_	45.83	6.27
RSP_LIKE.het.U_84_15294_15451__reversed_	0.50	0.07
RSP_LIKE.het.U_77_49357_49512	0.00	0.00
RSP_LIKE.het.U_78_6514_6671__reversed_	0.00	0.00
RSP_LIKE.het.U_124_7491_7647__reversed_	11.65	1.59
RSP_LIKE.het.U_78_11122_11279__reversed_	39.21	5.37
RSP_LIKE.het.U_78_23959_24114__reversed_	0.00	0.00
RSP_LIKE.het.U_104_89470_89625__reversed_	0.00	0.00
RSP_LIKE.het.U_317_54823_54980__reversed_	0.00	0.00
RSP_LIKE.het.U_104_66676_66834__reversed_	0.14	0.02
RSP_LIKE.het.U_104_67779_67939__reversed_	0.00	0.00
RSP_LIKE.het.U_102_4706_4864	1.96	0.27
RSP_LIKE.het.U_317_46128_46285__reversed_	0.00	0.00
