Cluster	first_start	last_start
X:2624910-2626573	2624910	2626383
X:6190624-6191609	6190624	6191459
X:256190-257144	256217	257036
X:3970254-3970910	3970254	3970750
X:254313-255813	254340	255650
X:262488-264620	262515	264483
X:12914400-12918003	12914400	12917858
X:296414-300678	296441	300541
X:2379195-2383030	2379195	2382896
X:3707481-3709803	3707508	3709640
X:13042463-13043100	13042463	13042955
X:266565-270196	266592	270033
X:4215346-4216151	4215346	4215993
X:12993949-12995740	12993949	12995595
X:12777817-12780190	12777908	12780045
X:14425869-14427486	14425869	14427181
X:940395-941643	940490	941464
