repeat	count	RPM
RSP_LIKE.1A.X_269869_270032__reversed_	26.13	2.30
RSP_LIKE.11E.X_12993949_12994111__reversed_	7.31	0.64
RSP_LIKE.11D.X_12917694_12917857__reversed_	19.41	1.71
RSP_LIKE.1A.X_299557_299720__reversed_	32.35	2.85
RSP_LIKE.1A.X_269541_269703__reversed_	39.26	3.46
RSP_LIKE.1A.X_268724_268886__reversed_	23.66	2.09
RSP_LIKE.1A.X_300049_300211__reversed_	22.64	2.00
RSP_LIKE.1A.X_296769_296931__reversed_	21.93	1.93
RSP_LIKE.12F.X_14427017_14427178__reversed_	11.04	0.97
RSP_LIKE.12F.X_14425869_14426030__reversed_	8.72	0.77
RSP_LIKE.12F.X_14426197_14426360__reversed_	28.36	2.50
RSP_LIKE.12F.X_14426525_14426688__reversed_	29.46	2.60
RSP_LIKE.11D.X_12779389_12779552__reversed_	18.30	1.61
RSP_LIKE.1A.X_298081_298244__reversed_	44.98	3.97
RSP_LIKE.1A.X_264155_264318__reversed_	35.32	3.11
RSP_LIKE.1A.X_263663_263826__reversed_	28.20	2.49
RSP_LIKE.1A.X_268068_268231__reversed_	49.95	4.40
RSP_LIKE.1A.X_263335_263498__reversed_	32.12	2.83
RSP_LIKE.1A.X_267740_267903__reversed_	38.84	3.42
RSP_LIKE.11D.X_12917366_12917528__reversed_	34.46	3.04
RSP_LIKE.11D.X_12915883_12916045__reversed_	43.09	3.80
RSP_LIKE.11E.X_12994932_12995095__reversed_	36.89	3.25
RSP_LIKE.11D.X_12916211_12916374__reversed_	54.62	4.82
RSP_LIKE.11E.X_12995431_12995594__reversed_	25.02	2.21
RSP_LIKE.11D.X_12915391_12915554__reversed_	41.40	3.65
RSP_LIKE.11D.X_12914899_12915062__reversed_	43.22	3.81
RSP_LIKE.11D.X_12916874_12917037__reversed_	58.21	5.13
RSP_LIKE.11D.X_12917202_12917365__reversed_	38.77	3.42
RSP_LIKE.11E.X_13042791_13042954__reversed_	23.43	2.07
RSP_LIKE.11D.X_12778398_12778561__reversed_	32.78	2.89
RSP_LIKE.11E.X_12995096_12995266__reversed_	18.77	1.65
RSP_LIKE.11E.X_13042627_13042790__reversed_	20.28	1.79
RSP_LIKE.11E.X_13042463_13042626__reversed_	6.87	0.61
RSP_LIKE.11D.X_12915719_12915882__reversed_	48.86	4.31
RSP_LIKE.11D.X_12778562_12778731__reversed_	21.87	1.93
RSP_LIKE.1A.X_268888_269051__reversed_	29.19	2.57
RSP_LIKE.1A.X_269705_269868__reversed_	26.46	2.33
RSP_LIKE.1A.X_297917_298080__reversed_	32.01	2.82
RSP_LIKE.1A.X_296933_297096__reversed_	28.02	2.47
RSP_LIKE.1A.X_300213_300376__reversed_	25.13	2.22
RSP_LIKE.1A.X_267576_267739__reversed_	31.25	2.75
RSP_LIKE.1A.X_263499_263662__reversed_	35.95	3.17
RSP_LIKE.1A.X_263171_263334__reversed_	35.42	3.12
RSP_LIKE.1A.X_267904_268067__reversed_	38.59	3.40
RSP_LIKE.11D.X_12914400_12914570__reversed_	20.29	1.79
RSP_LIKE.11D.X_12916375_12916545__reversed_	37.59	3.31
RSP_LIKE.3A.X_2380008_2380110	13.11	1.16
RSP_LIKE.12F.X_14427181_14427342__reversed_	8.22	0.72
RSP_LIKE.12F.X_14426853_14427016__reversed_	12.75	1.12
RSP_LIKE.12F.X_14426361_14426524__reversed_	24.74	2.18
RSP_LIKE.12F.X_14426689_14426852__reversed_	28.49	2.51
RSP_LIKE.12F.X_14426033_14426196__reversed_	29.85	2.63
RSP_LIKE.11D.X_12778733_12778896__reversed_	22.80	2.01
RSP_LIKE.1A.X_299065_299228__reversed_	37.92	3.34
RSP_LIKE.1A.X_297589_297752__reversed_	33.92	2.99
RSP_LIKE.1A.X_299721_299884__reversed_	38.82	3.42
RSP_LIKE.1A.X_298573_298736__reversed_	34.30	3.02
RSP_LIKE.11D.X_12780045_12780190__reversed_	9.25	0.82
RSP_LIKE.11D.X_12917530_12917693__reversed_	24.68	2.18
RSP_LIKE.11D.X_12916047_12916210__reversed_	46.67	4.11
RSP_LIKE.11D.X_12779717_12779880__reversed_	26.43	2.33
RSP_LIKE.11D.X_12779225_12779388__reversed_	29.15	2.57
RSP_LIKE.3A.X_2626219_2626382	41.75	3.68
RSP_LIKE.3A.X_2625235_2625398	36.71	3.24
RSP_LIKE.3A.X_2626055_2626218	43.17	3.81
RSP_LIKE.1D.X_941464_941580__reversed_	28.13	2.48
RSP_LIKE.3F.X_3709476_3709639__reversed_	37.95	3.35
RSP_LIKE.1A.X_255323_255486__reversed_	30.88	2.72
RSP_LIKE.1A.X_256545_256708__reversed_	28.17	2.48
RSP_LIKE.1A.X_255650_255813__reversed_	24.17	2.13
RSP_LIKE.3F.X_3709148_3709311__reversed_	49.00	4.32
RSP_LIKE.1A.X_263991_264154__reversed_	38.67	3.41
RSP_LIKE.3A.X_2381257_2381418	64.80	5.71
RSP_LIKE.3A.X_2381911_2382074	98.96	8.72
RSP_LIKE.1D.X_941136_941299__reversed_	28.63	2.52
RSP_LIKE.3F.X_3708164_3708327__reversed_	151.80	13.38
RSP_LIKE.3F.X_3709640_3709803__reversed_	30.19	2.66
RSP_LIKE.3A.X_2380767_2380930	187.96	16.57
RSP_LIKE.3A.X_2380111_2380274	125.70	11.08
RSP_LIKE.3F.X_3709312_3709475__reversed_	61.32	5.41
RSP_LIKE.1A.X_296441_296604__reversed_	10.09	0.89
RSP_LIKE.1A.X_298245_298408__reversed_	34.22	3.02
RSP_LIKE.1A.X_262515_262678__reversed_	14.53	1.28
RSP_LIKE.1A.X_266592_266755__reversed_	14.46	1.28
RSP_LIKE.1A.X_254340_254502__reversed_	5.82	0.51
RSP_LIKE.1A.X_258194_258356__reversed_	26.31	2.32
RSP_LIKE.1A.X_257036_257144__reversed_	8.81	0.78
RSP_LIKE.1A.X_256217_256380__reversed_	22.54	1.99
RSP_LIKE.1D.X_940654_940803__reversed_	37.12	3.27
RSP_LIKE.3F.X_3707836_3707999__reversed_	164.60	14.51
RSP_LIKE.1A.X_254995_255158__reversed_	55.99	4.94
RSP_LIKE.1A.X_256709_256871__reversed_	38.04	3.35
RSP_LIKE.1A.X_255159_255322__reversed_	82.45	7.27
RSP_LIKE.1A.X_256381_256544__reversed_	55.26	4.87
RSP_LIKE.1A.X_255487_255649__reversed_	28.01	2.47
RSP_LIKE.3A.X_2382403_2382566	90.34	7.96
RSP_LIKE.3A.X_2381583_2381746	104.10	9.18
RSP_LIKE.3A.X_2382075_2382238	112.33	9.90
RSP_LIKE.3A.X_2382731_2382894	38.53	3.40
RSP_LIKE.3F.X_3708000_3708163__reversed_	463.31	40.84
RSP_LIKE.1A.X_267084_267247__reversed_	25.87	2.28
RSP_LIKE.1A.X_254503_254666__reversed_	14.28	1.26
RSP_LIKE.3A.X_2382239_2382402	77.24	6.81
RSP_LIKE.3A.X_2381747_2381910	99.41	8.76
RSP_LIKE.3A.X_2382567_2382730	47.84	4.22
RSP_LIKE.3A.X_2381094_2381256	52.74	4.65
RSP_LIKE.3A.X_2380439_2380602	160.53	14.15
RSP_LIKE.3A.X_2625071_2625234	46.17	4.07
RSP_LIKE.1D.X_941300_941463__reversed_	47.49	4.19
RSP_LIKE.1D.X_940972_941135__reversed_	45.48	4.01
RSP_LIKE.1D.X_940490_940653__reversed_	46.76	4.12
RSP_LIKE.3A.X_2626383_2626546	47.16	4.16
RSP_LIKE.3A.X_2625891_2626054	76.19	6.72
RSP_LIKE.3A.X_2381419_2381582	57.77	5.09
RSP_LIKE.3F.X_3707672_3707835__reversed_	90.12	7.94
RSP_LIKE.1A.X_300377_300540__reversed_	29.47	2.60
RSP_LIKE.1A.X_268232_268395__reversed_	35.14	3.10
RSP_LIKE.1A.X_263827_263990__reversed_	27.73	2.44
RSP_LIKE.1A.X_264319_264482__reversed_	23.95	2.11
RSP_LIKE.1A.X_297753_297915__reversed_	33.37	2.94
RSP_LIKE.1A.X_299885_300048__reversed_	33.02	2.91
RSP_LIKE.1A.X_299229_299392__reversed_	41.80	3.69
RSP_LIKE.1A.X_297261_297424__reversed_	33.41	2.95
RSP_LIKE.1A.X_299393_299556__reversed_	45.43	4.01
RSP_LIKE.1A.X_298737_298900__reversed_	31.74	2.80
RSP_LIKE.3A.X_2625727_2625890	34.78	3.07
RSP_LIKE.1A.X_258357_258520__reversed_	22.88	2.02
RSP_LIKE.1A.X_266756_266919__reversed_	34.99	3.08
RSP_LIKE.1A.X_262679_262842__reversed_	33.17	2.92
RSP_LIKE.1A.X_298409_298572__reversed_	34.28	3.02
RSP_LIKE.3A.X_2380603_2380766	169.22	14.92
RSP_LIKE.1A.X_296605_296768__reversed_	24.61	2.17
RSP_LIKE.3A.X_2625563_2625726	89.86	7.92
RSP_LIKE.1A.X_298901_299064__reversed_	33.44	2.95
RSP_LIKE.1A.X_268396_268559__reversed_	36.78	3.24
RSP_LIKE.1A.X_269213_269376__reversed_	41.04	3.62
RSP_LIKE.1A.X_270033_270196__reversed_	21.54	1.90
RSP_LIKE.1A.X_269377_269540__reversed_	40.06	3.53
RSP_LIKE.1A.X_268560_268723__reversed_	31.18	2.75
RSP_LIKE.1A.X_297425_297588__reversed_	28.07	2.47
RSP_LIKE.1A.X_300541_300678__reversed_	12.19	1.08
RSP_LIKE.1A.X_264483_264620__reversed_	11.69	1.03
RSP_LIKE.3A.X_2625399_2625562	36.79	3.24
RSP_LIKE.3F.X_3708820_3708983__reversed_	75.41	6.65
RSP_LIKE.3A.X_2382896_2383030	13.14	1.16
RSP_LIKE.1A.X_254831_254994__reversed_	44.79	3.95
RSP_LIKE.1A.X_267248_267411__reversed_	24.21	2.13
RSP_LIKE.1A.X_256872_257035__reversed_	21.35	1.88
RSP_LIKE.1D.X_940808_940971__reversed_	27.97	2.47
RSP_LIKE.3F.X_3708984_3709147__reversed_	59.31	5.23
RSP_LIKE.3F.X_3708492_3708655__reversed_	88.85	7.83
RSP_LIKE.3F.X_3708656_3708819__reversed_	72.22	6.37
RSP_LIKE.3F.X_3708328_3708491__reversed_	131.45	11.59
RSP_LIKE.1A.X_266920_267083__reversed_	31.77	2.80
RSP_LIKE.3F.X_3707508_3707671__reversed_	35.52	3.13
RSP_LIKE.1A.X_254667_254830__reversed_	47.44	4.18
RSP_LIKE.3A.X_2624910_2625070	18.54	1.63
RSP_LIKE.3A.X_2380275_2380438	277.24	24.44
RSP_LIKE.3A.X_2380931_2381093	72.06	6.35
RSP_LIKE.1A.X_297097_297260__reversed_	37.87	3.34
RSP_LIKE.11D.X_12778234_12778397__reversed_	32.75	2.89
RSP_LIKE.11E.X_12994604_12994767__reversed_	60.30	5.32
RSP_LIKE.11D.X_12917858_12918003__reversed_	10.66	0.94
RSP_LIKE.11E.X_13042955_13043100__reversed_	8.40	0.74
RSP_LIKE.11E.X_12994440_12994603__reversed_	36.39	3.21
RSP_LIKE.11E.X_12994768_12994931__reversed_	59.45	5.24
RSP_LIKE.1A.X_267412_267575__reversed_	35.47	3.13
RSP_LIKE.1A.X_263007_263170__reversed_	26.65	2.35
RSP_LIKE.1A.X_262843_263006__reversed_	30.28	2.67
RSP_LIKE.11E.X_12995595_12995740__reversed_	19.26	1.70
RSP_LIKE.11D.X_12779881_12780043__reversed_	29.79	2.63
RSP_LIKE.11D.X_12914735_12914898__reversed_	36.89	3.25
RSP_LIKE.11D.X_12916710_12916873__reversed_	39.84	3.51
RSP_LIKE.11D.X_12915227_12915390__reversed_	46.29	4.08
RSP_LIKE.11D.X_12917038_12917201__reversed_	34.62	3.05
RSP_LIKE.11E.X_12995267_12995430__reversed_	23.17	2.04
RSP_LIKE.11D.X_12779061_12779223__reversed_	29.47	2.60
RSP_LIKE.11D.X_12779553_12779715__reversed_	24.28	2.14
RSP_LIKE.11D.X_12915063_12915226__reversed_	44.34	3.91
RSP_LIKE.11D.X_12915555_12915718__reversed_	44.36	3.91
RSP_LIKE.11D.X_12914571_12914734__reversed_	41.12	3.62
RSP_LIKE.11D.X_12778897_12779060__reversed_	34.17	3.01
RSP_LIKE.11D.X_12916546_12916709__reversed_	40.92	3.61
RSP_LIKE.11E.X_12994276_12994439__reversed_	32.92	2.90
RSP_LIKE.11D.X_12777908_12778071__reversed_	21.35	1.88
RSP_LIKE.11D.X_12778076_12778233__reversed_	24.68	2.18
RSP_LIKE.11E.X_12994112_12994275__reversed_	27.02	2.38
RSP_LIKE.dere.consensus_1_169	*	*
RSP_LIKE.3A.X_2379195_2379315	6.10	0.54
RSP_LIKE.5F.X_6190790_6190945__reversed_	7.60	0.67
RSP_LIKE.5F.X_6191127_6191282__reversed_	5.97	0.53
RSP_LIKE.4B.X_3970254_3970412__reversed_	8.75	0.77
RSP_LIKE.4B.X_3970418_3970578__reversed_	14.80	1.30
RSP_LIKE.4B.X_3970750_3970910__reversed_	3.20	0.28
RSP_LIKE.4B.X_3970584_3970744__reversed_	13.61	1.20
RSP_LIKE.5F.X_6190624_6190782__reversed_	8.41	0.74
RSP_LIKE.5F.X_6191289_6191451__reversed_	2.30	0.20
RSP_LIKE.5F.X_6190957_6191119__reversed_	6.34	0.56
RSP_LIKE.5F.X_6191459_6191609__reversed_	2.02	0.18
RSP_LIKE.4C.X_4215663_4215826	12.78	1.13
RSP_LIKE.4C.X_4215993_4216151	8.33	0.73
RSP_LIKE.4C.X_4215498_4215661	7.97	0.70
RSP_LIKE.4C.X_4215828_4215991	13.22	1.17
RSP_LIKE.4C.X_4215346_4215496	2.00	0.18
RSP_LIKE.1A.X_269052_269212__reversed_	41.14	3.63
