Cluster	Repeats	Closest upstream	Dist upstream	Closest downstream	Dist downstream	Coords	First_start	First_end	Last_start	Last_end	Cyto_band	Cyto_start
Copia1-LTR	1	Copia1-I	1	DNAREP1	1	X:104574-104776	104574	104776	104574	104776	1A	103614
DNAREP1	2	Copia1-LTR	1	Invader1	76	X:104777-105661	104777	105147	105314	105661	1A	103614
Invader1	1	DNAREP1	76	PROTOP 3472 3661	-6	X:105737-105897	105737	105897	105737	105897	1A	103614
PROTOP 3472 3661	1	Invader1	-6	PROTOP	3	X:105891-106074	105891	106074	105891	106074	1A	103614
PROTOP	1	PROTOP 3472 3661	3	Gypsy-38	147	X:106077-106598	106077	106598	106077	106598	1A	103614
Gypsy-38	3	PROTOP	147	Gypsy9-LTR	87	X:106745-107430	106745	106930	107305	107430	1A	103614
Gypsy9-LTR	1	Gypsy-38	87	DNAREP1	95	X:107517-107631	107517	107631	107517	107631	1A	103614
DNAREP1	1	Gypsy9-LTR	95	GENE	14	X:107726-107844	107726	107844	107726	107844	1A	103614
GENE	2	DNAREP1	14	DNAREP2	-11840	X:107858-123892	107858	110147	110851	123892	1A	103614
DNAREP2	1	GENE	-11840	Gypsy8-I	791	X:112052-112091	112052	112091	112052	112091	1A	103614
Gypsy8-I	1	DNAREP2	791	REP-2	97	X:112882-112931	112882	112931	112882	112931	1A	103614
REP-2	1	Gypsy8-I	97	DNAREP1	193	X:113028-113170	113028	113170	113028	113170	1A	103614
DNAREP1	3	REP-2	193	Transib-1	1494	X:113363-114280	113363	113397	113709	114280	1A	103614
Transib-1	1	DNAREP1	1494	Helitron-1	2882	X:115774-115825	115774	115825	115774	115825	1A	103614
Helitron-1	1	Transib-1	2882	DNAREP1	0	X:118707-118735	118707	118735	118707	118735	1A	103614
DNAREP1	1	Helitron-1	0	Helitron-N1	1063	X:118735-119458	118735	119458	118735	119458	1A	103614
Helitron-N1	2	DNAREP1	1063	hAT-2	5068	X:120521-120675	120521	120603	120632	120675	1A	103614
hAT-2	1	Helitron-N1	5068	GENE	644	X:125743-125815	125743	125815	125743	125815	1A	103614
GENE	2	hAT-2	644	Helitron-N1	-44186	X:126459-171645	126459	132197	126541	171645	1A	103614
Helitron-N1	1	GENE	-44186	DNAREP1	6228	X:127459-127558	127459	127558	127459	127558	1A	103614
DNAREP1	2	Helitron-N1	6228	Helitron-N1	1066	X:133786-134772	133786	133902	134564	134772	1A	103614
Helitron-N1	1	DNAREP1	1066	REP-2	306	X:135838-136013	135838	136013	135838	136013	1A	103614
REP-2	1	Helitron-N1	306	Helitron-1	1297	X:136319-136383	136319	136383	136319	136383	1A	103614
Helitron-1	1	REP-2	1297	DNAREP1	49	X:137680-137789	137680	137789	137680	137789	1A	103614
DNAREP1	1	Helitron-1	49	DNAREP2	493	X:137838-137902	137838	137902	137838	137902	1A	103614
DNAREP2	1	DNAREP1	493	DNAREP1	860	X:138395-138903	138395	138903	138395	138903	1A	103614
DNAREP1	5	DNAREP2	860	Helitron-2	49	X:139763-141670	139763	139864	141426	141670	1A	103614
Helitron-2	1	DNAREP1	49	DNAREP1	1234	X:141719-141782	141719	141782	141719	141782	1A	103614
DNAREP1	2	Helitron-2	1234	DNAREP1	2018	X:143016-143387	143016	143141	143140	143387	1A	103614
DNAREP1	1	DNAREP1	2018	Helitron-N1	1662	X:145405-145554	145405	145554	145405	145554	1A	103614
Helitron-N1	1	DNAREP1	1662	Helitron-2	3255	X:147216-147353	147216	147353	147216	147353	1A	103614
Helitron-2	1	Helitron-N1	3255	DNAREP1	2916	X:150608-150674	150608	150674	150608	150674	1A	103614
DNAREP1	2	Helitron-2	2916	Helitron-N2	1927	X:153590-153902	153590	153754	153784	153902	1A	103614
Helitron-N2	1	DNAREP1	1927	DNAREP1	-5	X:155829-155909	155829	155909	155829	155909	1A	103614
DNAREP1	2	Helitron-N2	-5	Helitron-N1	754	X:155904-156693	155904	156008	156496	156693	1A	103614
Helitron-N1	1	DNAREP1	754	PROTOP	1	X:157447-157565	157447	157565	157447	157565	1A	103614
PROTOP	1	Helitron-N1	1	P-1	23	X:157566-157714	157566	157714	157566	157714	1A	103614
P-1	1	PROTOP	23	Helitron-N2	1601	X:157737-157888	157737	157888	157737	157888	1A	103614
Helitron-N2	2	P-1	1601	Helitron-1	262	X:159489-159941	159489	159580	159786	159941	1A	103614
Helitron-1	1	Helitron-N2	262	DNAREP1	1692	X:160203-160270	160203	160270	160203	160270	1A	103614
DNAREP1	1	Helitron-1	1692	REP-2	2121	X:161962-162409	161962	162409	161962	162409	1A	103614
REP-2	1	DNAREP1	2121	DNAREP1	70	X:164530-164687	164530	164687	164530	164687	1A	103614
DNAREP1	1	REP-2	70	Hoyak2 2521 2560	780	X:164757-164958	164757	164958	164757	164958	1A	103614
Hoyak2 2521 2560	1	DNAREP1	780	Helitron-2	208	X:165738-165777	165738	165777	165738	165777	1A	103614
Helitron-2	1	Hoyak2 2521 2560	208	DNAREP1	1769	X:165985-166057	165985	166057	165985	166057	1A	103614
DNAREP1	2	Helitron-2	1769	1.688	3305	X:167826-168125	167826	168015	168049	168125	1A	103614
1.688	147	DNAREP1	3305	DNAREP1	9	X:171430-227276	171430	171634	227016	227276	1A	103614
DNAREP1	1	1.688	9	1.688	11	X:227285-227392	227285	227392	227285	227392	1A	103614
1.688	1	DNAREP1	11	GENE	186	X:227403-227495	227403	227495	227403	227495	1A	103614
GENE	1	1.688	186	Helitron-N2	-1674	X:227681-229565	227681	229565	227681	229565	1A	103614
Helitron-N2	1	GENE	-1674	GENE	1943	X:227891-227961	227891	227961	227891	227961	1A	103614
GENE	1	Helitron-N2	1943	DNAREP1	-1297	X:229904-238039	229904	238039	229904	238039	1A	103614
DNAREP1	1	GENE	-1297	GENE	1794	X:236742-236812	236742	236812	236742	236812	1A	103614
GENE	3	DNAREP1	1794	FB4	-3382	X:238606-248194	238606	239245	242021	248194	1A	103614
FB4	1	GENE	-3382	Helitron-2N	1282	X:244812-244953	244812	244953	244812	244953	1A	103614
Helitron-2N	1	FB4	1282	1.688	3037	X:246235-246312	246235	246312	246235	246312	1A	103614
1.688	1	Helitron-2N	3037	GENE	304	X:249349-249511	249349	249511	249349	249511	1A	103614
GENE	1	1.688	304	GENE	1525	X:249815-250747	249815	250747	249815	250747	1A	103614
GENE	1	GENE	1525	DNAREP1	-4775	X:252272-263518	252272	263518	252272	263518	1A	103614
DNAREP1	1	GENE	-4775	Helitron-N2	1795	X:258743-259236	258743	259236	258743	259236	1A	103614
Helitron-N2	1	DNAREP1	1795	PROTOP	2530	X:261031-261194	261031	261194	261031	261194	1A	103614
PROTOP	2	Helitron-N2	2530	PROTOP 3472 3627	16	X:263724-264276	263724	264226	264219	264276	1A	103614
PROTOP 3472 3627	1	PROTOP	16	PROTOP 4005 4089	1	X:264292-264439	264292	264439	264292	264439	1A	103614
PROTOP 4005 4089	1	PROTOP 3472 3627	1	DOC6	63	X:264440-264524	264440	264524	264440	264524	1A	103614
DOC6	1	PROTOP 4005 4089	63	PROTOP	1	X:264587-268825	264587	268825	264587	268825	1A	103614
PROTOP	1	DOC6	1	Transib-7	725	X:268826-269172	268826	269172	268826	269172	1A	103614
Transib-7	1	PROTOP	725	Transib-6	55	X:269897-269953	269897	269953	269897	269953	1A	103614
Transib-6	1	Transib-7	55	Transib-7	20	X:270008-270168	270008	270168	270008	270168	1A	103614
Transib-7	1	Transib-6	20	M4DM 842 1173	1	X:270188-270418	270188	270418	270188	270418	1A	103614
M4DM 842 1173	1	Transib-7	1	Transib-7	73	X:270419-270479	270419	270479	270419	270479	1A	103614
Transib-7	1	M4DM 842 1173	73	DNAREP1	905	X:270552-270676	270552	270676	270552	270676	1A	103614
DNAREP1	2	Transib-7	905	GENE	833	X:271581-271856	271581	271732	271743	271856	1A	103614
GENE	1	DNAREP1	833	DNAREP1	-10414	X:272689-285096	272689	285096	272689	285096	1A	103614
DNAREP1	1	GENE	-10414	Transib-1	1	X:274682-274737	274682	274737	274682	274737	1A	103614
Transib-1	1	DNAREP1	1	DNAREP1	34	X:274738-274748	274738	274748	274738	274748	1A	103614
DNAREP1	1	Transib-1	34	Helitron-1	1727	X:274782-275088	274782	275088	274782	275088	1A	103614
Helitron-1	1	DNAREP1	1727	DNAREP1	1620	X:276815-276927	276815	276927	276815	276927	1A	103614
DNAREP1	3	Helitron-1	1620	Helitron-N2	1394	X:278547-279001	278547	278574	278951	279001	1A	103614
Helitron-N2	1	DNAREP1	1394	DNAREP1	1262	X:280395-280443	280395	280443	280395	280443	1A	103614
DNAREP1	1	Helitron-N2	1262	Helitron-N1	4422	X:281705-282002	281705	282002	281705	282002	1A	103614
Helitron-N1	1	DNAREP1	4422	DNAREP1	1771	X:286424-286637	286424	286637	286424	286637	1A	103614
DNAREP1	3	Helitron-N1	1771	GENE	1306	X:288408-289672	288408	288537	289226	289672	1A	103614
GENE	1	DNAREP1	1306	DNAREP1	5551	X:290978-291565	290978	291565	290978	291565	1A	103614
DNAREP1	1	GENE	5551	GENE	596	X:297116-297680	297116	297680	297116	297680	1A	103614
GENE	2	DNAREP1	596	BEL-8	-6192	X:298276-312352	298276	299734	299772	312352	1A	103614
BEL-8	1	GENE	-6192	DNAREP1	749	X:306160-306431	306160	306431	306160	306431	1A	103614
DNAREP1	1	BEL-8	749	Helitron-1N	36	X:307180-307274	307180	307274	307180	307274	1A	103614
Helitron-1N	1	DNAREP1	36	DNAREP1	2208	X:307310-307346	307310	307346	307310	307346	1A	103614
DNAREP1	1	Helitron-1N	2208	DNAREP1	2797	X:309554-309695	309554	309695	309554	309695	1A	103614
DNAREP1	1	DNAREP1	2797	Helitron-1	139	X:312492-312564	312492	312564	312492	312564	1A	103614
Helitron-1	1	DNAREP1	139	DNAREP1	2387	X:312703-312782	312703	312782	312703	312782	1A	103614
DNAREP1	1	Helitron-1	2387	Gypsy6-I	3314	X:315169-315559	315169	315559	315169	315559	1A	103614
Gypsy6-I	1	DNAREP1	3314	Helitron-N2	386	X:318873-318920	318873	318920	318873	318920	1A	103614
Helitron-N2	1	Gypsy6-I	386	Transib-1	636	X:319306-319342	319306	319342	319306	319342	1A	103614
Transib-1	1	Helitron-N2	636	GENE	1328	X:319978-320047	319978	320047	319978	320047	1A	103614
GENE	1	Transib-1	1328	Helitron-N1	-2334	X:321375-328635	321375	328635	321375	328635	1A	103614
Helitron-N1	1	GENE	-2334	GENE	2533	X:326301-326468	326301	326468	326301	326468	1A	103614
GENE	1	Helitron-N1	2533	DNAREP1	631	X:329001-329566	329001	329566	329001	329566	1A	103614
DNAREP1	3	GENE	631	P	1	X:330197-330709	330197	330267	330668	330709	1A	103614
P	1	DNAREP1	1	GENE	720	X:330710-330722	330710	330722	330710	330722	1A	103614
GENE	1	P	720	GENE	2642	X:331442-331691	331442	331691	331442	331691	1A	103614
GENE	1	GENE	2642	Helitron-N1	4250	X:334333-338744	334333	338744	334333	338744	1A	103614
Helitron-N1	1	GENE	4250	DNAREP1	381	X:342994-343090	342994	343090	342994	343090	1A	103614
DNAREP1	1	Helitron-N1	381	GENE	3984	X:343471-343519	343471	343519	343471	343519	1A	103614
GENE	1	DNAREP1	3984	Jockey-3	-314	X:347503-348108	347503	348108	347503	348108	1A	103614
Jockey-3	1	GENE	-314	DNAREP1	1578	X:347794-347982	347794	347982	347794	347982	1A	103614
DNAREP1	1	Jockey-3	1578	Helitron-N1	19584	X:349560-349613	349560	349613	349560	349613	1A	103614
Helitron-N1	1	DNAREP1	19584	GENE	3871	X:369197-369255	369197	369255	369197	369255	1A	103614
GENE	1	Helitron-N1	3871	Helitron-1	3774	X:373126-374166	373126	374166	373126	374166	1A	103614
Helitron-1	1	GENE	3774	GENE	8741	X:377940-377996	377940	377996	377940	377996	1A	103614
GENE	1	Helitron-1	8741	TRANSIB1 1428 1782	17211	X:386737-387510	386737	387510	386737	387510	1A	103614
TRANSIB1 1428 1782	1	GENE	17211	TRANSIB1 1 843	-2	X:404721-405075	404721	405075	404721	405075	1A	103614
TRANSIB1 1 843	1	TRANSIB1 1428 1782	-2	GENE	3225	X:405073-405928	405073	405928	405073	405928	1A	103614
GENE	1	TRANSIB1 1 843	3225	Helitron-2	24	X:409153-410461	409153	410461	409153	410461	1B	408583
Helitron-2	1	GENE	24	Helitron-N2	144	X:410485-410548	410485	410548	410485	410548	1B	408583
Helitron-N2	1	Helitron-2	144	GENE	23126	X:410692-410789	410692	410789	410692	410789	1B	408583
GENE	1	Helitron-N2	23126	Helitron-N2	170	X:433915-435366	433915	435366	433915	435366	1B	408583
Helitron-N2	1	GENE	170	GENE	4687	X:435536-435687	435536	435687	435536	435687	1B	408583
GENE	1	Helitron-N2	4687	GENE	1660	X:440374-442225	440374	442225	440374	442225	1B	408583
GENE	1	GENE	1660	DNAREP1	-955	X:443885-449488	443885	449488	443885	449488	1B	408583
DNAREP1	1	GENE	-955	GENE	2238	X:448533-448604	448533	448604	448533	448604	1B	408583
GENE	1	DNAREP1	2238	GENE	1087	X:450842-451844	450842	451844	450842	451844	1B	408583
GENE	1	GENE	1087	GENE	1261	X:452931-453227	452931	453227	452931	453227	1B	408583
GENE	1	GENE	1261	GENE	1106	X:454488-454940	454488	454940	454488	454940	1B	408583
GENE	1	GENE	1106	GENE	1092	X:456046-456498	456046	456498	456046	456498	1B	408583
GENE	1	GENE	1092	GENE	1106	X:457590-458042	457590	458042	457590	458042	1B	408583
GENE	2	GENE	1106	Gypsy-27	-1454	X:459148-464810	459148	459600	460028	464810	1B	408583
Gypsy-27	1	GENE	-1454	GENE	1708	X:463356-463394	463356	463394	463356	463394	1B	408583
