name	start	end	Cyto_band	Cyto_start	species	flanking	age	Repeats	NewCyto	TransCoor
chrX	251368	254287	1A	103614	mau	no	no	8	1A	192927
chrX	255837	256164	1A	103614	mau	no	no	1	1A	192927
chrX	257152	258141	1A	103614	mau	no	no	3	1A	192927
chrX	258544	262462	1A	103614	mau	no	no	12	1A	192927
chrX	264652	266539	1A	103614	mau	no	no	6	1A	192927
chrX	270220	273439	1A	103614	mau	no	no	9	1A	192927
chrX	273566	273658	1A	103614	mau	no	no	1	1A	192927
chrX	296291	296390	1A	103614	mau	no	no	1	1A	192927
chrX	300744	300910	1A	103614	mau	no	no	1	1A	192927
chrX	885281	885631	1D	831097	mau	no	no	1	1D	846301
chrX	968793	969127	1D	831097	mau	no	no	1	1D	846301
chrX	1449096	1449541	2A	1368553	mau	no	no	2	2A	1366990
chrX	1525366	1526394	2B	1475669	mau	no	no	5	2B	1478322
chrX	1679670	1680417	2B	1475669	mau	no	no	3	2B	1478322
chrX	1778229	1778874	2B	1475669	mau	no	no	3	2B	1478322
chrX	1824018	1824480	2B	1475669	mau	no	no	2	2B	1478322
chrX	1902104	1902252	2B	1475669	mau	no	no	1	2B	1478322
chrX	2074823	2074884	2C	1972107	mau	no	no	1	2D	2063663
chrX	2155171	2155487	2D	2083109	mau	no	no	2	2D	2063663
chrX	2175673	2179047	2E	2173103	mau	no	no	9	2E	2155552
chrX	2378835	2379151	3A	2328358	mau	no	no	2	3A	2296574
chrX	2626606	2627097	3A	2328358	mau	no	no	2	3A	2296574
chrX	2717101	2717885	3B	2666235	mau	no	no	3	3B	2629922
chrX	2772982	2773516	3B	2666235	mau	no	no	2	3B	2629922
chrX	2827008	2827080	3C	2804156	mau	no	no	1	3C	2776027
chrX	2843397	2843872	3C	2804156	mau	no	no	2	3C	2776027
chrX	3022727	3023086	3C	2804156	mau	no	no	2	3C	2776027
chrX	3153293	3153722	3C	2804156	mau	no	no	2	3C	2776027
chrX	3706985	3707455	3E	3614213	mau	no	no	2	3F	3618744
chrX	3710125	3710470	3E	3614213	mau	no	no	1	3F	3618744
chrX	3723159	3723256	3E	3614213	mau	no	no	1	3F	3618744
chrX	3750983	3751627	3E	3614213	mau	no	no	3	3F	3618744
