"","first.first","first.middle","first.last","middle.first","middle.middle","middle.last","last.first","last.middle","last.last","size","band","first.start","second.start","last.start","last.second","maxDyLowerEst"
"1",0,0.0300364122131048,NA,0.0300364122131048,0.0164324480215397,0.0755868613266528,NA,0.0755868613266528,0,12.16,NA,NA,NA,NA,NA,0.0591544133051132
"2",0,0.00229996355567836,0.239485867088578,0.00229996355567836,0.00920371459128345,0.354161594664532,0.239485867088578,0.354161594664532,0,11,"1A","X:119958-120035","X:121501-121627","X:120037-120200","X:121357-121502",0.344957880073248
"3",0,0.00339791210463387,0.298550248626821,0.00339791210463387,0.00333937223947393,0.381134484547423,0.298550248626821,0.381134484547423,0,45,"1A","X:145485-145562","X:152682-152808","X:145564-145727","X:152538-152683",0.377795112307949
"4",0,0.0545521304958042,0.0573983889359559,0.0545521304958042,0.034615341668996,0.0436812626010894,0.0573983889359559,0.0436812626010894,0,15,"2C","X:2009747-2009909","X:2012042-2012205","X:2009911-2010073","X:2011879-2012041",0.0199367888268083
"5",0,0.041522461695525,0.150925623697087,0.041522461695525,0.0497433484199974,0.127763307229978,0.150925623697087,0.127763307229978,0,17,"2E","X:2211579-2211740","X:2214193-2214327","X:2211742-2211903","X:2214029-2214191",0.0780199588099809
"6",0,0.0868592924275071,NA,0.0868592924275071,0.0112779367508636,0.0078688797597906,NA,0.0078688797597906,0,6,"3A","X:2463265-2463319","X:2463981-2464076","X:2463321-2463484","X:2463816-2463979",0.0755813556766435
"7",0,0.0440024273260502,NA,0.0440024273260502,0.00714134543285478,0.518250457568352,NA,0.518250457568352,0,13,"3D","X:3556166-3556245","X:3558063-3558168","X:3556247-3556411","X:3557898-3558061",0.511109112135497
"8",0,0.0295782576889637,0.025273916186058,0.0295782576889637,0.0125823825146554,0.00833450924452913,0.025273916186058,0.00833450924452913,0,5,"3F","X:3828548-3828708","X:3829212-3829372","X:3828714-3828874","X:3829046-3829206",0.0169958751743083
"9",0,0.24455480058465,0.229909345365424,0.24455480058465,0.0487943197543493,0.0339623686967435,0.229909345365424,0.0339623686967435,0,7,"4A","X:4093471-4093623","X:4094449-4094607","X:4093625-4093787","X:4094285-4094447",0.195760480830301
"10",0,0.0224299657550911,0.0106025816465986,0.0224299657550911,0.0351802352416536,0.0205828943384206,0.0106025816465986,0.0205828943384206,0,9,"4F","X:5191811-5191971","X:5193096-5193190","X:5191972-5192129","X:5192932-5193095",0.014597340903233
"11",0,0,0,0,0.00408213551519352,0.00883190113200085,0,0.00883190113200085,0,5,"7B","X:7614028-7614099","X:7614596-7614747","X:7614101-7614264","X:7614431-7614594",0.00474976561680733
"12",0,0.00957306504496953,NA,0.00957306504496953,0.00828978797998896,0.00544362066655647,NA,0.00544362066655647,0,19,"8B","X:8784931-8784998","X:8787804-8787858","X:8785000-8785163","X:8787639-8787802",0.00284616731343249
"13",0,0,0.014639307341513,0,0,0.0130192230908987,0.014639307341513,0.0130192230908987,0,5,"9A","X:10054790-10054937","X:10055434-10055588","X:10054939-10055102","X:10055269-10055432",0.0130192230908987
"14",0,0.00222855195647531,0,0.00222855195647531,0.00316159798571659,0,0,0,0,11,"9B","X:10105021-10105175","X:10106648-10106725","X:10105177-10105340","X:10106483-10106646",0.00316159798571659
"15",0,0.00341171401839426,0,0.00341171401839426,0.00628530953572312,0,0,0,0,24,"9D","X:10591871-10592025","X:10595639-10595716","X:10592027-10592190","X:10595474-10595637",0.00628530953572312
"16",0,0,0.0206999450623662,0,0.00306163181712987,0.0107547020967435,0.0206999450623662,0.0107547020967435,0,6,"9E","X:10645594-10645671","X:10646333-10646496","X:10645673-10645836","X:10646168-10646331",0.00769307027961362
"17",0,0.00526074128360934,0.0420045477461699,0.00526074128360934,0.0084963388535341,0.0271826207833534,0.0420045477461699,0.0271826207833534,0,16,"10B","X:11437916-11437970","X:11440282-11440439","X:11437972-11438135","X:11440117-11440280",0.0186862819298193
"18",0,0.0158281471083705,0.0115861373670333,0.0158281471083705,0.0123758328672551,0.0127173488110431,0.0115861373670333,0.0127173488110431,0,12,"11A","X:12232421-12232575","X:12234219-12234314","X:12232577-12232740","X:12234054-12234217",0.00345231424111541
"19",0,0.00368248072584212,NA,0.00368248072584212,0.00859842316470832,0.0124195688728629,NA,0.0124195688728629,0,7,"11A","X:12346361-12346415","X:12347242-12347318","X:12346417-12346580","X:12347077-12347240",0.0049159424388662
"20",0,0.0186872158520134,0,0.0186872158520134,0.0333484634181009,0.0250355962456876,0,0.0250355962456876,0,5,"11B","X:12603926-12604089","X:12604586-12604640","X:12604091-12604254","X:12604421-12604584",0.0146612475660874
"21",0,0.0813061382638192,NA,0.0813061382638192,0.0123212800537193,0.0402198120796201,NA,0.0402198120796201,0,9,"11B","X:12660820-12660884","X:12662041-12662095","X:12660886-12661049","X:12661876-12662039",0.0689848582100999
"22",0,0.0337188557576868,NA,0.0337188557576868,0.00945540194099749,0.00216613825797054,NA,0.00216613825797054,0,19,"11B","X:12738482-12738559","X:12741276-12741330","X:12738561-12738724","X:12741123-12741274",0.0242634538166893
"23",0,0,NA,0,0.0259946539698169,0.0221628733528613,NA,0.0221628733528613,0,6,"11C","X:12788391-12788468","X:12789134-12789168","X:12788470-12788633","X:12788965-12789132",0.0259946539698169
"24",0,0.0215534687910697,0,0.0215534687910697,0.0190984298074388,0.0353803282494334,0,0.0353803282494334,0,14,"11F","X:13396089-13396220","X:13398196-13398272","X:13396222-13396385","X:13398031-13398194",0.0162818984419947
"25",0,0.0245809470365646,0.159031893787713,0.0245809470365646,0.0360128828021612,0.1701703015417,0.159031893787713,0.1701703015417,0,5,"12E","X:14113574-14113725","X:14114198-14114284","X:14113727-14113878","X:14114033-14114196",0.134157418739539
"26",0,0.00188176785490155,0,0.00188176785490155,0.0083510342128801,0.00842773933473005,0,0.00842773933473005,0,13,"12E","X:14163690-14163767","X:14165560-14165711","X:14163769-14163932","X:14165395-14165558",0.00646926635797854
