Cluster	Repeats	Closest upstream	Dist upstream	Closest downstream	Dist downstream	Coords	First_start	First_end	Last_start	Last_end	Cyto_band	Cyto_start
500U	2	FW	61	Jockey-3	26	X:107557-108300	107557	107995	107994	108300	1A	103614
Jockey-3	1	500U	26	500U	441	X:108326-108809	108326	108809	108326	108809	1A	103614
500U	4	Jockey-3	441	STALKER4	51	X:109250-111921	109250	109749	111748	111921	1A	103614
STALKER4	4	500U	51	500U	131	X:111972-118578	111972	112343	118295	118578	1A	103614
500U	1	STALKER4	131	Jockey-3	26	X:118709-119132	118709	119132	118709	119132	1A	103614
Jockey-3	1	500U	26	STALKER4	893	X:119158-119536	119158	119536	119158	119536	1A	103614
STALKER4	1	Jockey-3	893	BLASTOPIA	1	X:120429-123157	120429	123157	120429	123157	1A	103614
BLASTOPIA	3	STALKER4	1	STALKER4	1	X:123158-128185	123158	123432	127911	128185	1A	103614
STALKER4	1	BLASTOPIA	1	BLASTOPIA	-3	X:128186-130227	128186	130227	128186	130227	1A	103614
BLASTOPIA	2	STALKER4	-3	Gypsy-1	1	X:130224-134297	130224	134022	134023	134297	1A	103614
Gypsy-1	1	BLASTOPIA	1	BLASTOPIA	-3	X:134298-136339	134298	136339	134298	136339	1A	103614
BLASTOPIA	2	Gypsy-1	-3	Gypsy-1	1	X:136336-140408	136336	140133	140134	140408	1A	103614
Gypsy-1	1	BLASTOPIA	1	Gypsy-10	1	X:140409-142600	140409	142600	140409	142600	1A	103614
Gypsy-10	1	Gypsy-1	1	Gypsy-1	1	X:142601-144689	142601	144689	142601	144689	1A	103614
Gypsy-1	2	Gypsy-10	1	Gypsy-10	1	X:144690-144919	144690	144857	144858	144919	1A	103614
Gypsy-10	1	Gypsy-1	1	Gypsy-1	1	X:144920-145682	144920	145682	144920	145682	1A	103614
Gypsy-1	1	Gypsy-10	1	500U	100	X:145683-145755	145683	145755	145683	145755	1A	103614
500U	1	Gypsy-1	100	500U	1378	X:145855-146351	145855	146351	145855	146351	1A	103614
500U	1	500U	1378	Jockey-3	465	X:147729-148194	147729	148194	147729	148194	1A	103614
Jockey-3	1	500U	465	FW	243	X:148659-149144	148659	149144	148659	149144	1A	103614
FW	1	Jockey-3	243	500U	130	X:149387-151606	149387	151606	149387	151606	1A	103614
500U	1	FW	130	Jockey-3	889	X:151736-152232	151736	152232	151736	152232	1A	103614
Jockey-3	4	500U	889	DIVER2	592	X:153121-156269	153121	153456	155934	156269	1A	103614
DIVER2	1	Jockey-3	592	BEL-6	1	X:156861-157214	156861	157214	156861	157214	1A	103614
BEL-6	4	DIVER2	1	DIVER2	2	X:157215-159997	157215	157382	159336	159997	1A	103614
DIVER2	1	BEL-6	2	Jockey-3	269	X:159999-160352	159999	160352	159999	160352	1A	103614
Jockey-3	6	DIVER2	269	3L-TAS	103	X:160621-165173	160621	160956	164772	165173	1A	103614
3L-TAS	2	Jockey-3	103	HETRP	110	X:165276-165733	165276	165454	165455	165733	1A	103614
HETRP	1	3L-TAS	110	TART-A 3756 3814	2	X:165843-165995	165843	165995	165843	165995	1A	103614
TART-A 3756 3814	1	HETRP	2	TART	4	X:165997-166127	165997	166127	165997	166127	1A	103614
TART	1	TART-A 3756 3814	4	TART-A 15405 15563	5	X:166131-166198	166131	166198	166131	166198	1A	103614
TART-A 15405 15563	1	TART	5	HETRP	17	X:166203-166367	166203	166367	166203	166367	1A	103614
HETRP	2	TART-A 15405 15563	17	HETA	91	X:166384-166869	166384	166537	166677	166869	1A	103614
HETA	1	HETRP	91	3L-TAS	23	X:166960-167639	166960	167639	166960	167639	1A	103614
3L-TAS	2	HETA	23	HETRP	110	X:167662-168132	167662	167844	167845	168132	1A	103614
HETRP	1	3L-TAS	110	TART-A 3756 3814	2	X:168242-168396	168242	168396	168242	168396	1A	103614
TART-A 3756 3814	1	HETRP	2	TART	4	X:168398-168528	168398	168528	168398	168528	1A	103614
TART	1	TART-A 3756 3814	4	TART-A 15405 15563	5	X:168532-168599	168532	168599	168532	168599	1A	103614
