Cluster	first_start	last_start
X:12232421-12234314	12232421	12234054
X:10105021-10106725	10105021	10106483
X:14163690-14165711	14163769	14165560
X:12603926-12604640	12603926	12604421
X:5191811-5193190	5191811	5192932
X:10054790-10055588	10054790	10055434
X:10645594-10646496	10645673	10646333
X:145485-152808	145564	152682
X:11437916-11440439	11437972	11440282
X:2211579-2214327	2211579	2214193
X:14113574-14114284	14113574	14114033
X:12346361-12347318	12346417	12347077
X:13396089-13398272	13396089	13398031
X:12660820-12662095	12660886	12661876
X:10591871-10595716	10591871	10595474
X:119958-121627	120037	121501
X:2463265-2464076	2463321	2463816
X:3828548-3829372	3828548	3829212
X:12738482-12741330	12738561	12741123
X:12788391-12789168	12788470	12788965
X:8784931-8787858	8785000	8787639
X:4093471-4094607	4093471	4094449
X:7614028-7614747	7614101	7614596
X:2009747-2012205	2009747	2012042
X:3556166-3558168	3556247	3558063
