Cluster	first_start	last_start
X:14751463-14778444	14751627	14777903
X:12070843-12107158	12071295	12106798
X:13272886-13316233	13273113	13315756
X:10220972-10231906	10221168	10231147
X:8244772-8246694	8244902	8246345
X:15075024-15108840	15075272	15108363
X:15294969-15336669	15294969	15336030
X:15502532-15532614	15502726	15532254
X:14375066-14377104	14375352	14376789
X:7727333-7766153	7727641	7765807
X:14464794-14495501	14465110	14494978
X:17002546-17003951	17002546	17003563
X:8476374-8502934	8476492	8502473
X:3635568-3642236	3635778	3641877
X:10769780-10782823	10770078	10782132
X:14500294-14509019	14500359	14508673
X:171430-227276	171635	226637
X:5260618-5274973	5260618	5274614
X:16345135-16375064	16345281	16374599
X:14275498-14283729	14275498	14283263
X:14544715-14547878	14544715	14547353
X:12755430-12757835	12755681	12757477
X:6640906-6659134	6641080	6658496
X:8947340-8990413	8947506	8989886
X:15974489-16007870	15974691	16007281
X:11594873-11632421	11595050	11632074
X:17005301-17007269	17005301	17006882
X:8017557-8020906	8017557	8020068
X:16052858-16065748	16053089	16065180
