Cluster,Repeats,Closest.upstream,Dist.upstream,Closest.downstream,Dist.downstream,Coords,First_start,First_end,Last_start,Last_end,Cyto_band,Cyto_start,species,flanking,age,
1.688,8,DNAREP1,3294,RSP-LIKE,26,X:251368-254287,251368,251695,253942,254287,1A,103614,D. mau,no,old,
1.688,1,RSP-LIKE,24,RSP-LIKE,26,X:255837-256164,255837,256164,255837,256164,1A,103614,D. mau,no,NA,
1.688,3,RSP-LIKE,8,RSP-LIKE,26,X:257152-258141,257152,257425,257786,258141,1A,103614,D. mau,no,NA,
1.688,12,RSP-LIKE,24,RSP-LIKE,26,X:258544-262462,258544,258871,262104,262462,1A,103614,D. mau,no,,
1.688,6,RSP-LIKE,32,RSP-LIKE,26,X:264652-266539,264652,265002,266181,266539,1A,103614,D. mau,no,old,
1.688,9,RSP-LIKE,24,DNAREP1,9,X:270220-273439,270220,270549,273184,273439,1A,103614,D. mau,no,old,
1.688,1,DNAREP1,11,GENE,186,X:273566-273658,273566,273658,273566,273658,1A,103614,D. mau,no,NA,
1.688,1,Helitron-2N,3147,RSP-LIKE,24,X:296291-296390,296291,296390,296291,296390,1A,103614,D. mau,no,NA,
1.688,1,RSP-LIKE,66,GENE,455,X:300744-300910,300744,300910,300744,300910,1A,103614,D. mau,no,NA,
1.688,1,GENE,12188,Jockey-3,4125,X:885281-885631,885281,885631,885281,885631,1D,831097,D. mau,no,NA,
1.688,1,GENE,19399,GENE,20362,X:968793-969127,968793,969127,968793,969127,1D,831097,D. mau,no,NA,
1.688,2,GENE,401,GENE,226,X:1449096-1449541,1449096,1449423,1449438,1449541,2A,1368553,D. mau,no,NA,
1.688,5,ROO,15053,Gypsy8-I,2478,X:1525366-1526394,1525366,1525553,1526293,1526394,2B,1475669,D. mau,no,new,
1.688,3,GENE,7422,GENE,4020,X:1679670-1680417,1679670,1679835,1680182,1680417,2B,1475669,D. mau,no,NA,
1.688,3,Jockey-1,35554,TART,219,X:1778229-1778874,1778229,1778422,1778789,1778874,2B,1475669,D. mau,no,NA,
1.688,2,Jockey-3,5042,Gypsy12,796,X:1824018-1824480,1824018,1824364,1824377,1824480,2B,1475669,D. mau,no,NA,
1.688,1,GENE,1,GENE,2563,X:1902104-1902252,1902104,1902252,1902104,1902252,2B,1475669,D. mau,no,NA,
1.688,1,GENE,1,TART,1709,X:2074823-2074884,2074823,2074884,2074823,2074884,2C,1972107,D. mau,no,NA,
1.688,2,GENE,1,GENE,65,X:2155171-2155487,2155171,2155302,2155312,2155487,2D,2083109,D. mau,no,NA,
1.688,9,TART,1611,GENE,2840,X:2175673-2179047,2175673,2175965,2178718,2179047,2E,2173103,D. mau,no,new,
1.688,2,GENE,8900,RSP-LIKE,44,X:2378835-2379151,2378835,2378943,2378981,2379151,3A,2328358,D. mau,no,NA,
1.688,2,RSP-LIKE,33,GENE,180,X:2626606-2627097,2626606,2626972,2626975,2627097,3A,2328358,D. mau,no,NA,
1.688,3,FB4,14557,GENE,12728,X:2717101-2717885,2717101,2717378,2717760,2717885,3B,2666235,D. mau,no,NA,
1.688,2,GENE,6922,Polinton-1,14470,X:2772982-2773516,2772982,2773310,2773325,2773516,3B,2666235,D. mau,no,NA,
1.688,1,GENE,3316,GENE,4066,X:2827008-2827080,2827008,2827080,2827008,2827080,3C,2804156,D. mau,no,NA,
1.688,2,GENE,11814,GENE,13217,X:2843397-2843872,2843397,2843741,2843764,2843872,3C,2804156,D. mau,no,NA,
1.688,2,hAT-2,6298,GENE,37960,X:3022727-3023086,3022727,3022856,3022899,3023086,3C,2804156,D. mau,no,NA,
1.688,2,GENE,2493,GENE,1333,X:3153293-3153722,3153293,3153498,3153519,3153722,3C,2804156,D. mau,no,NA,
