Cluster	Repeats	Closest_upstream	Dist_upstream	Closest_downstream	Dist_downstream	Coords	First_start	First_end	Last_start	Last_end	Cyto_band	Cyto_start	NewCyto	TransCoor
HETA 4381 5348	1	HETA	10	TAHRE	-10	X:107852-109057	107852	109057	107852	109057	1A	103614	1A	103614
TAHRE 9755 10463	1	HETA	-10	HETA	0	X:109047-109754	109047	109754	109047	109754	1A	103614	1A	103614
HETA 1450 8280	1	TAHRE	0	HETA	10	X:109754-113335	109754	113335	109754	113335	1A	103614	1A	103614
HETA 5438 6081	1	HETA	10	TAHRE	2	X:113345-114007	113345	114007	113345	114007	1A	103614	1A	103614
TAHRE 10418 10455	1	HETA	2	TAHRE	-8	X:114009-114046	114009	114046	114009	114046	1A	103614	1A	103614
TAHRE 7350 10455	1	TAHRE	-8	HETA	58	X:114038-116407	114038	116407	114038	116407	1A	103614	1A	103614
HETA 1 775	1	TAHRE	58	HETA	1	X:116465-117391	116465	117391	116465	117391	1A	103614	1A	103614
HETA 231 8210	1	HETA	1	TAHRE	233	X:117392-122492	117392	122492	117392	122492	1A	103614	1A	103614
TAHRE 10380 10463	1	HETA	233	HETRP	249	X:122725-122809	122725	122809	122725	122809	1A	103614	1A	103614
HETRP	2	TAHRE	249	DNAREP1	258	X:123058-123589	123058	123116	123439	123589	1A	103614	1A	103614
DNAREP1	2	HETRP	258	REP-2	5396	X:123847-124326	123847	123926	124196	124326	1A	103614	1A	103614
REP-2	1	DNAREP1	5396	Helitron-1	-4	X:129722-129819	129722	129819	129722	129819	1A	103614	1A	103614
Helitron-1	1	REP-2	-4	REP-2	294	X:129815-129850	129815	129850	129815	129850	1A	103614	1A	103614
REP-2	1	Helitron-1	294	DNAREP1	39	X:130144-130200	130144	130200	130144	130200	1A	103614	1A	103614
DNAREP1	1	REP-2	39	DNAREP1	1585	X:130239-130675	130239	130675	130239	130675	1A	103614	1A	103614
DNAREP1	1	DNAREP1	1585	DNAREP1	2740	X:132260-132321	132260	132321	132260	132321	1A	103614	1A	103614
DNAREP1	1	DNAREP1	2740	Hoyak2	1	X:135061-135753	135061	135753	135061	135753	1A	103614	1A	103614
Hoyak2 2513 2561	1	DNAREP1	1	Helitron-N1	1160	X:135754-135802	135754	135802	135754	135802	1A	103614	1A	103614
Helitron-N1	1	Hoyak2	1160	Helitron-N2	2	X:136962-137053	136962	137053	136962	137053	1A	103614	1A	103614
Helitron-N2	1	Helitron-N1	2	hAT-2	4978	X:137055-137167	137055	137167	137055	137167	1A	103614	1A	103614
hAT-2	1	Helitron-N2	4978	Helitron-N1	1461	X:142145-142222	142145	142222	142145	142222	1A	103614	1A	103614
Helitron-N1	1	hAT-2	1461	DNAREP1	86	X:143683-143845	143683	143845	143683	143845	1A	103614	1A	103614
DNAREP1	1	Helitron-N1	86	DNAREP1	4031	X:143931-143982	143931	143982	143931	143982	1A	103614	1A	103614
DNAREP1	1	DNAREP1	4031	P	1814	X:148013-148142	148013	148142	148013	148142	1A	103614	1A	103614
P	1	DNAREP1	1814	DNAREP1	1	X:149956-149968	149956	149968	149956	149968	1A	103614	1A	103614
DNAREP1	1	P	1	Helitron-N2	890	X:149969-150345	149969	150345	149969	150345	1A	103614	1A	103614
Helitron-N2	1	DNAREP1	890	DNAREP1	35	X:151235-151404	151235	151404	151235	151404	1A	103614	1A	103614
DNAREP1	1	Helitron-N2	35	Helitron-N1	1015	X:151439-151575	151439	151575	151439	151575	1A	103614	1A	103614
Helitron-N1	1	DNAREP1	1015	REP-2	585	X:152590-152798	152590	152798	152590	152798	1A	103614	1A	103614
REP-2	1	Helitron-N1	585	Helitron-1	1294	X:153383-153447	153383	153447	153383	153447	1A	103614	1A	103614
Helitron-1	1	REP-2	1294	DNAREP1	39	X:154741-154850	154741	154850	154741	154850	1A	103614	1A	103614
DNAREP1	2	Helitron-1	39	DNAREP1	1061	X:154889-155790	154889	154962	155403	155790	1A	103614	1A	103614
DNAREP1	6	DNAREP1	1061	DMCR1A	1381	X:156851-158924	156851	156933	158797	158924	1A	103614	1A	103614
DMCR1A 3986 4560	1	DNAREP1	1381	ROO	1	X:160305-160808	160305	160808	160305	160808	1A	103614	1A	103614
ROO	3	DMCR1A	1	DMCR1A	1	X:160809-168004	160809	161872	163353	168004	1A	103614	1A	103614
DMCR1A 3910 3989	1	ROO	1	DNAREP1	4	X:168005-168084	168005	168084	168005	168084	1A	103614	1A	103614
DNAREP1	2	DMCR1A	4	P	-7	X:168088-168297	168088	168252	168263	168297	1A	103614	1A	103614
P	1	DNAREP1	-7	DNAREP1	6	X:168290-168323	168290	168323	168290	168323	1A	103614	1A	103614
DNAREP1	1	P	6	Helitron-N2	92	X:168329-168947	168329	168947	168329	168947	1A	103614	1A	103614
Helitron-N2	1	DNAREP1	92	DNAREP1	70	X:169039-169108	169039	169108	169039	169108	1A	103614	1A	103614
DNAREP1	1	Helitron-N2	70	DNAREP1	3485	X:169178-169268	169178	169268	169178	169268	1A	103614	1A	103614
DNAREP1	1	DNAREP1	3485	Helitron-N2	1579	X:172753-172995	172753	172995	172753	172995	1A	103614	1A	103614
Helitron-N2	1	DNAREP1	1579	Helitron-2	3133	X:174574-174712	174574	174712	174574	174712	1A	103614	1A	103614
Helitron-2	1	Helitron-N2	3133	Helitron-N2	1583	X:177845-177905	177845	177905	177845	177905	1A	103614	1A	103614
Helitron-N2	1	Helitron-2	1583	Helitron-1N1	269	X:179488-179576	179488	179576	179488	179576	1A	103614	1A	103614
Helitron-1N1	1	Helitron-N2	269	DNAREP1	7	X:179845-179889	179845	179889	179845	179889	1A	103614	1A	103614
DNAREP1	2	Helitron-1N1	7	DNAREP1	1310	X:179896-180278	179896	180152	180225	180278	1A	103614	1A	103614
DNAREP1	3	DNAREP1	1310	DNAREP1	1330	X:181588-182062	181588	181809	181959	182062	1A	103614	1A	103614
DNAREP1	2	DNAREP1	1330	Helitron-1	17	X:183392-184396	183392	183819	184247	184396	1A	103614	1A	103614
Helitron-1	2	DNAREP1	17	PROTOP	1	X:184413-185383	184413	184454	185250	185383	1A	103614	1A	103614
PROTOP 1 206	1	Helitron-1	1	P-1	7	X:185384-185548	185384	185548	185384	185548	1A	103614	1A	103614
P-1	1	PROTOP	7	DNAREP1	825	X:185555-185696	185555	185696	185555	185696	1A	103614	1A	103614
DNAREP1	1	P-1	825	Helitron-N2	1201	X:186521-186775	186521	186775	186521	186775	1A	103614	1A	103614
Helitron-N2	3	DNAREP1	1201	DNAREP1	1461	X:187976-188733	187976	188108	188612	188733	1A	103614	1A	103614
DNAREP1	1	Helitron-N2	1461	DNAREP1	1853	X:190194-190312	190194	190312	190194	190312	1A	103614	1A	103614
DNAREP1	2	DNAREP1	1853	Helitron-2	221	X:192165-193917	192165	192592	193447	193917	1A	103614	1A	103614
Helitron-2	1	DNAREP1	221	DNAREP1	1612	X:194138-194210	194138	194210	194138	194210	1A	103614	1A	103614
DNAREP1	1	Helitron-2	1612	Hoyak2	1	X:195822-196204	195822	196204	195822	196204	1A	103614	1A	103614
Hoyak2 2524 2559	1	DNAREP1	1	RSP-LIKE	3626	X:196205-196240	196205	196240	196205	196240	1A	103614	1A	103614
RSP-LIKE	1	Hoyak2	3626	1.688	1355	X:199866-199933	199866	199933	199866	199933	1A	103614	1A	103614
1.688	118	RSP-LIKE	1355	Helitron-N2	426	X:201288-243720	201288	201410	243399	243720	1A	103614	1A	103614
Helitron-N2	1	1.688	426	1.688	20928	X:244146-244227	244146	244227	244146	244227	1A	103614	1A	103614
1.688	1	Helitron-N2	20928	RSP-LIKE	446	X:265155-265382	265155	265382	265155	265382	1A	103614	1A	103614
RSP-LIKE	1	1.688	446	DNAREP1	9007	X:265828-265870	265828	265870	265828	265870	1A	103614	1A	103614
DNAREP1	1	RSP-LIKE	9007	Helitron-N2	1834	X:274877-275330	274877	275330	274877	275330	1A	103614	1A	103614
Helitron-N2	1	DNAREP1	1834	Gypsy-10	60	X:277164-277381	277164	277381	277164	277381	1A	103614	1A	103614
Gypsy-10	1	Helitron-N2	60	M4DM	3074	X:277441-277507	277441	277507	277441	277507	1A	103614	1A	103614
M4DM 1 154	1	Gypsy-10	3074	Transib-7	362	X:280581-280707	280581	280707	280581	280707	1A	103614	1A	103614
Transib-7	1	M4DM	362	DNAREP1	883	X:281069-281193	281069	281193	281069	281193	1A	103614	1A	103614
DNAREP1	1	Transib-7	883	DNAREP1	2632	X:282076-282524	282076	282524	282076	282524	1A	103614	1A	103614
DNAREP1	2	DNAREP1	2632	DNAREP1	2610	X:285156-285550	285156	285261	285263	285550	1A	103614	1A	103614
DNAREP1	2	DNAREP1	2610	Transib-1	2302	X:288160-288497	288160	288253	288256	288497	1A	103614	1A	103614
