Cluster	first_start	last_start
X:5784563-5786296	5784766	5785845
X:12796877-12798439	12797056	12798107
X:10205187-10206748	10205311	10206388
X:2175673-2179047	2175976	2178718
X:14260288-14288318	14260288	14287780
X:8078431-8080763	8078431	8080233
X:6692565-6714109	6692739	6713482
X:10753692-10760418	10753789	10759804
X:12469879-12474880	12469879	12474523
X:10261210-10279298	10261210	10278717
X:8274010-8275752	8274109	8275148
X:7800561-7802535	7800858	7801942
X:12086992-12110294	12087088	12109966
X:13656789-13664684	13656789	13664330
X:13490722-13493081	13490722	13492445
X:15831581-15850726	15831581	15850088
X:8476162-8478660	8476388	8478193
X:15786852-15794501	15787070	15794163
X:14329083-14333422	14329371	14332828
X:10159958-10163860	10160479	10163351
X:11628963-11644191	11629153	11643884
X:11353538-11359423	11353651	11359063
X:9404136-9405865	9404136	9405237
X:8962955-8964616	8962955	8964009
X:251368-254287	251368	253942
X:5311891-5323168	5312464	5322652
X:16120619-16133647	16120619	16133185
X:15202440-15206338	15202491	15205740
X:264652-266539	264652	266181
X:5374833-5376393	5374833	5375912
X:15325055-15327208	15325333	15326771
X:14470359-14473453	14470617	14473144
X:8040015-8050749	8040015	8050419
X:13269272-13272852	13269499	13272371
X:10372819-10375715	10372819	10375213
X:10810795-10813175	10810795	10812606
X:5815310-5820131	5815437	5819593
X:8390686-8392082	8390686	8391762
X:14378068-14379617	14378189	14379264
X:15015322-15017078	15015573	15016656
X:10611251-10612682	10611251	10612336
X:11880577-11882272	11880721	11881813
X:14418517-14420652	14418744	14420188
X:270220-273439	270220	272697
X:8514890-8530145	8515127	8529793
X:14986989-14996975	14987240	14996607
X:258544-262462	258544	262104
X:10732316-10734338	10732526	10733961
X:13477915-13479748	13478099	13479182
X:11250805-11252464	11251031	11252110
X:15389770-15399640	15389957	15399214
X:10710708-10713125	10710708	10712775
X:13646370-13655717	13646370	13655361
X:8978734-8984563	8978734	8984100
X:16744178-16745875	16744371	16745441
X:6737256-6739753	6737459	6739255
X:12466622-12468806	12466622	12468449
